sequential_site	protein	protein_site	Wolf_epitope	Koel_epitope
179	HA1	179	1	0
180	HA1	180	0	0
181	HA1	181	0	0
182	HA1	182	1	0
183	HA1	183	0	0
184	HA1	184	0	0
185	HA1	185	0	0
186	HA1	186	1	0
187	HA1	187	1	0
188	HA1	188	1	0
189	HA1	189	1	1
190	HA1	190	1	0
191	HA1	191	0	0
192	HA1	192	1	0
193	HA1	193	1	1
194	HA1	194	1	0
195	HA1	195	0	0
196	HA1	196	1	0
197	HA1	197	1	0
198	HA1	198	1	0
199	HA1	199	0	0
200	HA1	200	0	0
201	HA1	201	1	0
202	HA1	202	0	0
203	HA1	203	1	0
204	HA1	204	0	0
205	HA1	205	0	0
206	HA1	206	0	0
207	HA1	207	1	0
208	HA1	208	1	0
209	HA1	209	1	0
210	HA1	210	0	0
211	HA1	211	0	0
212	HA1	212	1	0
213	HA1	213	1	0
214	HA1	214	1	0
215	HA1	215	1	0
216	HA1	216	1	0
217	HA1	217	1	0
218	HA1	218	1	0
219	HA1	219	1	0
220	HA1	220	0	0
221	HA1	221	0	0
222	HA1	222	0	0
223	HA1	223	0	0
224	HA1	224	0	0
225	HA1	225	0	0
226	HA1	226	1	0
227	HA1	227	1	0
228	HA1	228	1	0
229	HA1	229	1	0
230	HA1	230	1	0
231	HA1	231	0	0
232	HA1	232	0	0
233	HA1	233	0	0
234	HA1	234	0	0
235	HA1	235	0	0
236	HA1	236	0	0
237	HA1	237	0	0
238	HA1	238	1	0
239	HA1	239	0	0
240	HA1	240	1	0
241	HA1	241	0	0
242	HA1	242	1	0
243	HA1	243	0	0
244	HA1	244	1	0
245	HA1	245	0	0
246	HA1	246	1	0
247	HA1	247	1	0
248	HA1	248	1	0
249	HA1	249	0	0
250	HA1	250	0	0
251	HA1	251	0	0
252	HA1	252	0	0
253	HA1	253	0	0
254	HA1	254	0	0
255	HA1	255	0	0
256	HA1	256	0	0
257	HA1	257	0	0
258	HA1	258	0	0
259	HA1	259	0	0
260	HA1	260	1	0
261	HA1	261	1	0
262	HA1	262	1	0
263	HA1	263	0	0
264	HA1	264	0	0
265	HA1	265	1	0
266	HA1	266	0	0
267	HA1	267	0	0
268	HA1	268	0	0
269	HA1	269	0	0
270	HA1	270	0	0
271	HA1	271	0	0
272	HA1	272	0	0
273	HA1	273	1	0
274	HA1	274	0	0
275	HA1	275	1	0
276	HA1	276	1	0
277	HA1	277	0	0
278	HA1	278	1	0
279	HA1	279	1	0
280	HA1	280	1	0
281	HA1	281	0	0
282	HA1	282	0	0
283	HA1	283	0	0
284	HA1	284	0	0
285	HA1	285	0	0
286	HA1	286	0	0
287	HA1	287	0	0
288	HA1	288	0	0
289	HA1	289	0	0
290	HA1	290	0	0
291	HA1	291	0	0
292	HA1	292	0	0
293	HA1	293	0	0
294	HA1	294	1	0
295	HA1	295	0	0
296	HA1	296	0	0
297	HA1	297	1	0
298	HA1	298	0	0
299	HA1	299	1	0
300	HA1	300	1	0
301	HA1	301	0	0
302	HA1	302	0	0
303	HA1	303	0	0
304	HA1	304	1	0
305	HA1	305	1	0
306	HA1	306	0	0
307	HA1	307	1	0
308	HA1	308	1	0
309	HA1	309	1	0
310	HA1	310	1	0
311	HA1	311	1	0
312	HA1	312	1	0
313	HA1	313	0	0
314	HA1	314	0	0
315	HA1	315	0	0
316	HA1	316	0	0
317	HA1	317	0	0
318	HA1	318	0	0
319	HA1	319	0	0
320	HA1	320	0	0
321	HA1	321	0	0
322	HA1	322	0	0
323	HA1	323	0	0
324	HA1	324	0	0
325	HA1	325	0	0
326	HA1	326	0	0
327	HA1	327	0	0
328	HA1	328	0	0
329	HA1	329	0	0
330	HA2	1	0	0
331	HA2	2	0	0
332	HA2	3	0	0
333	HA2	4	0	0
334	HA2	5	0	0
335	HA2	6	0	0
336	HA2	7	0	0
337	HA2	8	0	0
338	HA2	9	0	0
339	HA2	10	0	0
340	HA2	11	0	0
341	HA2	12	0	0
342	HA2	13	0	0
343	HA2	14	0	0
344	HA2	15	0	0
345	HA2	16	0	0
346	HA2	17	0	0
347	HA2	18	0	0
348	HA2	19	0	0
349	HA2	20	0	0
350	HA2	21	0	0
351	HA2	22	0	0
352	HA2	23	0	0
353	HA2	24	0	0
354	HA2	25	0	0
355	HA2	26	0	0
356	HA2	27	0	0
357	HA2	28	0	0
358	HA2	29	0	0
359	HA2	30	0	0
360	HA2	31	0	0
361	HA2	32	0	0
362	HA2	33	0	0
363	HA2	34	0	0
364	HA2	35	0	0
365	HA2	36	0	0
366	HA2	37	0	0
367	HA2	38	0	0
368	HA2	39	0	0
369	HA2	40	0	0
370	HA2	41	0	0
371	HA2	42	0	0
372	HA2	43	0	0
373	HA2	44	0	0
374	HA2	45	0	0
375	HA2	46	0	0
376	HA2	47	0	0
377	HA2	48	0	0
378	HA2	49	0	0
379	HA2	50	0	0
380	HA2	51	0	0
381	HA2	52	0	0
382	HA2	53	0	0
383	HA2	54	0	0
384	HA2	55	0	0
385	HA2	56	0	0
386	HA2	57	0	0
387	HA2	58	0	0
388	HA2	59	0	0
389	HA2	60	0	0
390	HA2	61	0	0
391	HA2	62	0	0
392	HA2	63	0	0
393	HA2	64	0	0
394	HA2	65	0	0
395	HA2	66	0	0
396	HA2	67	0	0
397	HA2	68	0	0
398	HA2	69	0	0
399	HA2	70	0	0
400	HA2	71	0	0
401	HA2	72	0	0
402	HA2	73	0	0
403	HA2	74	0	0
404	HA2	75	0	0
405	HA2	76	0	0
406	HA2	77	0	0
407	HA2	78	0	0
408	HA2	79	0	0
409	HA2	80	0	0
410	HA2	81	0	0
411	HA2	82	0	0
412	HA2	83	0	0
413	HA2	84	0	0
414	HA2	85	0	0
415	HA2	86	0	0
416	HA2	87	0	0
417	HA2	88	0	0
418	HA2	89	0	0
419	HA2	90	0	0
420	HA2	91	0	0
421	HA2	92	0	0
422	HA2	93	0	0
423	HA2	94	0	0
424	HA2	95	0	0
425	HA2	96	0	0
426	HA2	97	0	0
427	HA2	98	0	0
428	HA2	99	0	0
429	HA2	100	0	0
430	HA2	101	0	0
431	HA2	102	0	0
432	HA2	103	0	0
433	HA2	104	0	0
434	HA2	105	0	0
435	HA2	106	0	0
436	HA2	107	0	0
437	HA2	108	0	0
438	HA2	109	0	0
439	HA2	110	0	0
440	HA2	111	0	0
441	HA2	112	0	0
442	HA2	113	0	0
443	HA2	114	0	0
444	HA2	115	0	0
445	HA2	116	0	0
446	HA2	117	0	0
447	HA2	118	0	0
448	HA2	119	0	0
449	HA2	120	0	0
450	HA2	121	0	0
451	HA2	122	0	0
452	HA2	123	0	0
453	HA2	124	0	0
454	HA2	125	0	0
455	HA2	126	0	0
456	HA2	127	0	0
457	HA2	128	0	0
458	HA2	129	0	0
459	HA2	130	0	0
460	HA2	131	0	0
461	HA2	132	0	0
462	HA2	133	0	0
463	HA2	134	0	0
464	HA2	135	0	0
465	HA2	136	0	0
466	HA2	137	0	0
467	HA2	138	0	0
468	HA2	139	0	0
469	HA2	140	0	0
470	HA2	141	0	0
471	HA2	142	0	0
472	HA2	143	0	0
473	HA2	144	0	0
474	HA2	145	0	0
475	HA2	146	0	0
476	HA2	147	0	0
477	HA2	148	0	0
478	HA2	149	0	0
479	HA2	150	0	0
480	HA2	151	0	0
481	HA2	152	0	0
482	HA2	153	0	0
483	HA2	154	0	0
484	HA2	155	0	0
485	HA2	156	0	0
486	HA2	157	0	0
487	HA2	158	0	0
488	HA2	159	0	0
489	HA2	160	0	0
490	HA2	161	0	0
491	HA2	162	0	0
492	HA2	163	0	0
493	HA2	164	0	0
494	HA2	165	0	0
495	HA2	166	0	0
496	HA2	167	0	0
497	HA2	168	0	0
498	HA2	169	0	0
499	HA2	170	0	0
500	HA2	171	0	0
501	HA2	172	0	0
502	HA2	173	0	0
503	HA2	174	0	0
504	HA2	175	0	0
505	HA2	176	0	0
506	HA2	177	0	0
507	HA2	178	0	0
508	HA2	179	0	0
509	HA2	180	0	0
510	HA2	181	0	0
511	HA2	182	0	0
512	HA2	183	0	0
513	HA2	184	0	0
514	HA2	185	0	0
515	HA2	186	0	0
516	HA2	187	0	0
517	HA2	188	0	0
518	HA2	189	0	0
519	HA2	190	0	0
520	HA2	191	0	0
521	HA2	192	0	0
522	HA2	193	0	0
523	HA2	194	0	0
524	HA2	195	0	0
525	HA2	196	0	0
526	HA2	197	0	0
527	HA2	198	0	0
528	HA2	199	0	0
529	HA2	200	0	0
530	HA2	201	0	0
531	HA2	202	0	0
532	HA2	203	0	0
533	HA2	204	0	0
534	HA2	205	0	0
535	HA2	206	0	0
536	HA2	207	0	0
537	HA2	208	0	0
538	HA2	209	0	0
539	HA2	210	0	0
540	HA2	211	0	0
541	HA2	212	0	0
542	HA2	213	0	0
543	HA2	214	0	0
544	HA2	215	0	0
545	HA2	216	0	0
546	HA2	217	0	0
547	HA2	218	0	0
548	HA2	219	0	0
549	HA2	220	0	0
550	HA2	221	0	0
