well,strain,serum,dilution_factor,replicate,fastq
A6,A/Hessen/18/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_41_S41_R1_001.fastq.gz
B6,A/France/GES-IPP00659/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_42_S42_R1_001.fastq.gz
C6,A/Netherlands/446/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_43_S43_R1_001.fastq.gz
D6,A/Ukraine/5214/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_44_S44_R1_001.fastq.gz
E6,A/Vietnam/PF126009/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_45_S45_R1_001.fastq.gz
F6,A/France/ARA-HCL025195259501/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_46_S46_R1_001.fastq.gz
G6,A/NordrheinWestfalen/96/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_47_S47_R1_001.fastq.gz
H6,A/Arizona/40/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_48_S48_R1_001.fastq.gz
A7,A/MinasGerais/671/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_49_S49_R1_001.fastq.gz
B7,A/SouthAfrica/NICD-R01647/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_50_S50_R1_001.fastq.gz
C7,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_51_S51_R1_001.fastq.gz
D7,A/Mauritius/26000203/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_52_S52_R1_001.fastq.gz
E7,A/SouthAfrica/NICD-R01668/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_53_S53_R1_001.fastq.gz
F7,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_54_S54_R1_001.fastq.gz
G7,A/Wisconsin/67/2022_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_55_S55_R1_001.fastq.gz
H7,A/Wisconsin/588/2019_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_56_S56_R1_001.fastq.gz
A8,A/Victoria/4897/2022_IVR-238_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_57_S57_R1_001.fastq.gz
B8,A/Thailand/8/2022_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_58_S58_R1_001.fastq.gz
C8,A/Massachusetts/18/2022_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_59_S59_R1_001.fastq.gz
D8,A/Hawaii/70/2019_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_60_S60_R1_001.fastq.gz
E8,A/District_Of_Columbia/27/2023_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_61_S61_R1_001.fastq.gz
F8,A/Croatia/10136RV/2023_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_62_S62_R1_001.fastq.gz
G8,A/Colombia/1851/2024_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_63_S63_R1_001.fastq.gz
H8,A/Hawaii/ISC-1140/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_64_S64_R1_001.fastq.gz
B9,A/Ohio/259/2024_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_66_S66_R1_001.fastq.gz
C9,A/Colorado/218/2024_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_67_S67_R1_001.fastq.gz
D9,A/Zacapa/FLU-012/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_68_S68_R1_001.fastq.gz
E9,A/Tokyo/EIS11-277/2024_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_69_S69_R1_001.fastq.gz
F9,A/Singapore/MOH0547/2024_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_70_S70_R1_001.fastq.gz
G9,A/Galicia/GA-CHUAC-451/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_71_S71_R1_001.fastq.gz
H9,A/Distrito_Federal/250106000728/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_72_S72_R1_001.fastq.gz
A10,A/Bangkok/P2390/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_73_S73_R1_001.fastq.gz
B10,A/Darwin/1415/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_74_S74_R1_001.fastq.gz
C10,A/Missouri/11/2025_cell_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_75_S75_R1_001.fastq.gz
D10,A/Norway/9556/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_76_S76_R1_001.fastq.gz
E10,A/Andalucia/PMC-00977/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_77_S77_R1_001.fastq.gz
F10,A/Lisboa/216/2023_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_78_S78_R1_001.fastq.gz
G10,A/Netherlands/1739/2023_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_79_S79_R1_001.fastq.gz
H10,A/Vietnam/F7324/2024_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_80_S80_R1_001.fastq.gz
A11,A/South_Australia/2523812314/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_81_S81_R1_001.fastq.gz
B11,A/South_Australia/2527213276/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_82_S82_R1_001.fastq.gz
C11,A/Bangkok/P2391/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_83_S83_R1_001.fastq.gz
D11,A/Malaysia/IMR/SARI/2406/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_84_S84_R1_001.fastq.gz
E11,A/Sydney/1359/2024_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_85_S85_R1_001.fastq.gz
