plate,well,strain,dilution_factor,n_barcodes,n_barcodes_final,final_library,parsed_reads,neut_standard_reads,non-neut-standard_parsed_reads,own_strain_reads,other_strain_reads,unmatched_near_expected_reads,unmatched_far_expected_reads,frac_own_strain_reads,frac_other_strain_reads,frac_unmatched_near_expected_reads,frac_unmatched_far_expected_reads,frac_foreign,frac_unmatched,titer,too_shallow,titer_imprecise,flagged_other_strain,flagged_unmatched,top_other_strain,top_other_strain_reads,top_other_strain_well,top_other_strain_wells_away
20260730_single_well_H1_vax_old_strains,C2,A/Netherlands/864/2026_H1N1,1,2,2,kept,1223760,17113,1206647,1197606,293,5915,2833,0.9925,0.0002428,0.004902,0.002348,0.002591,0.00725,69.98,False,False,False,False,A/Maine/25/2026_H1N1,262,B2,1
20260730_single_well_H1_vax_old_strains,D2,A/France/HDF-RELAB-IPP07969/2025_H1N1,1,2,2,kept,1518086,23627,1494459,1479129,43,11279,4008,0.9897,2.877e-05,0.007547,0.002682,0.002711,0.01023,62.6,False,False,False,False,A/France/PAC-RELAB-HCL026021993801/2026_H3N2,14,D2,
20260730_single_well_H1_vax_old_strains,E2,A/Virginia/82/2025_H1N1,1,2,2,kept,2206374,58899,2147475,2126538,542,10759,9636,0.9903,0.0002524,0.00501,0.004487,0.00474,0.009497,36.1,False,False,False,False,A/Uppsala/SE26-01293/2026_H1N1,478,H1,3
20260730_single_well_H1_vax_old_strains,F2,A/Valencia/VAHNSI_09_02564/2025_H1N1,1,2,1,"kept, some barcodes dropped",2098063,41264,2056799,2042047,371,7395,6986,0.9928,0.0001804,0.003595,0.003397,0.003577,0.006992,49.49,False,False,False,False,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,328,G2,1
20260730_single_well_H1_vax_old_strains,G2,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,1,2,2,kept,2144298,89459,2054839,2030191,64,10574,14010,0.988,3.115e-05,0.005146,0.006818,0.006849,0.01196,22.69,False,False,False,False,A/France/HDF-RELAB-IPP00300/2026_H3N2,23,G2,
20260730_single_well_H1_vax_old_strains,H2,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,1,2,2,kept,1441501,50743,1390758,1374477,34,7767,8480,0.9883,2.445e-05,0.005585,0.006097,0.006122,0.01168,27.09,False,False,False,False,A/NovaScotia/25-365-06099/2025_H3N2,18,H2,
20260730_single_well_H1_vax_old_strains,A3,A/Kentucky/80/2025_H1N1,1,2,2,kept,1770535,33509,1737026,1723328,41,7948,5709,0.9921,2.36e-05,0.004576,0.003287,0.00331,0.007862,51.43,False,False,False,False,A/StPetersburg/RII-25-2321S/2025_H3N2,9,A3,
20260730_single_well_H1_vax_old_strains,B3,A/Singapore/KK2768/2025_H1N1,1,2,2,kept,2166055,64055,2102000,2081709,70,10323,9898,0.9903,3.33e-05,0.004911,0.004709,0.004742,0.00962,32.5,False,False,False,False,A/NordrheinWestfalen/54/2026_H3N2,17,B3,
20260730_single_well_H1_vax_old_strains,C3,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,1,2,2,kept,1772780,33062,1739718,1726518,59,8038,5103,0.9924,3.391e-05,0.00462,0.002933,0.002967,0.007554,52.22,False,False,False,False,A/SantaCatarina/508/2026_H3N2,18,C3,
20260730_single_well_H1_vax_old_strains,D3,A/California/NIRC-IS-1019/2026_H1N1,1,2,2,kept,2307817,45780,2262037,2240744,35,14130,7128,0.9906,1.547e-05,0.006247,0.003151,0.003167,0.009398,48.95,False,False,False,False,A/Trieste/380/2026_H3N2,11,D3,
20260730_single_well_H1_vax_old_strains,E3,A/Zambia/6-NIC-014/2026_H1N1,1,2,2,kept,2007279,35263,1972016,1954959,31,11187,5839,0.9914,1.572e-05,0.005673,0.002961,0.002977,0.008634,55.44,False,False,False,False,A/Michigan/UM-10068071276/2025_H3N2,10,E3,
20260730_single_well_H1_vax_old_strains,F3,A/Mississippi/20/2026_H1N1,1,2,2,kept,1484948,1281456,203492,5537,228,10656,187071,0.02721,0.00112,0.05237,0.9193,0.9204,0.9717,0.004321,False,False,False,True,A/Hawaii/70/2019_H1N1,89,D8,5
20260730_single_well_H1_vax_old_strains,G3,A/BritishColumbia/RV05508-25/2025_H1N1,1,2,2,kept,1155160,995097,160063,2050,20,8353,149640,0.01281,0.000125,0.05219,0.9349,0.935,0.9871,0.00206,False,False,False,True,A/California/NIRC-IS-1059/2026_H3N2,9,G3,
20260730_single_well_H1_vax_old_strains,H3,A/Zambia/7-NIC-313/2026_H1N1,1,2,2,kept,1908351,1443839,464512,232001,326,13219,218966,0.4995,0.0007018,0.02846,0.4714,0.4721,0.4998,0.1607,False,False,False,True,A/Wisconsin/588/2019_H1N1,123,H7,4
20260730_single_well_H1_vax_old_strains,A4,A/Andalucia/PMC-01495/2025_H1N1,1,2,2,kept,1326548,25117,1301431,1291404,24,6293,3710,0.9923,1.844e-05,0.004835,0.002851,0.002869,0.007686,51.42,False,False,False,False,A/France/HDF-RELAB-IPP00303/2026_H3N2,4,A4,
20260730_single_well_H1_vax_old_strains,B4,A/Netherlands/2398/2025_H1N1,1,2,2,kept,2343645,72248,2271397,2247033,45,12201,12118,0.9893,1.981e-05,0.005372,0.005335,0.005355,0.01071,31.1,False,False,False,False,A/Germany/LRMC_0113/2025_H3N2,8,B4,
20260730_single_well_H1_vax_old_strains,C4,A/Netherlands/10008/2026_H1N1,1,2,2,kept,1846249,20872,1825377,1813058,36,8901,3382,0.9933,1.972e-05,0.004876,0.001853,0.001872,0.006729,86.87,False,False,False,False,A/StPetersburg/RII-25-2506S/2026_H3N2,14,C4,
20260730_single_well_H1_vax_old_strains,D4,A/BritishColumbia/RV01350-26/2026_H1N1,1,2,2,kept,820788,28838,791950,784456,17,3059,4418,0.9905,2.147e-05,0.003863,0.005579,0.0056,0.009441,27.2,False,False,False,False,A/Massachusetts/18/2022_H3N2,4,C8,4
20260730_single_well_H1_vax_old_strains,E4,A/Vietnam/PF125413/2025_H1N1,1,2,2,kept,2356953,36041,2320912,2301929,57,12901,6025,0.9918,2.456e-05,0.005559,0.002596,0.002621,0.008155,63.87,False,False,False,False,A/Singapore/SAR8915/2025_H3N2,10,E4,
20260730_single_well_H1_vax_old_strains,F4,A/Saskatchewan/SKFLU490586/2026_H1N1,1,2,2,kept,2218318,57743,2160575,2137408,35,14012,9120,0.9893,1.62e-05,0.006485,0.004221,0.004237,0.01071,37.02,False,False,False,False,A/France/ARA-HCL026031894402/2026_H3N2,11,F4,
20260730_single_well_H1_vax_old_strains,G4,A/Asturias/232590913/2025_H1N1,1,2,2,kept,2064453,70814,1993639,1974412,28,8382,10817,0.9904,1.404e-05,0.004204,0.005426,0.00544,0.00963,27.88,False,False,False,False,A/Castellon/VAHNSI_02_02400/2025_H3N2,9,G4,
20260730_single_well_H1_vax_old_strains,H4,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,1,2,2,kept,700954,36298,664656,656479,35,2649,5493,0.9877,5.266e-05,0.003986,0.008264,0.008317,0.01225,18.09,False,False,False,False,A/Trieste/257/2025_H3N2,11,H4,
20260730_single_well_H1_vax_old_strains,A5,A/Texas/29/2026_H1N1,1,2,2,kept,2113414,161442,1951972,1914480,70,11634,25788,0.9808,3.586e-05,0.00596,0.01321,0.01325,0.01917,11.86,False,False,False,False,A/Badajoz/18738342/2026_H3N2,20,A5,
20260730_single_well_H1_vax_old_strains,B5,A/Andalucia/PMC-01217/2025_H1N1,1,2,2,kept,1862431,30730,1831701,1816270,47,10598,4786,0.9916,2.566e-05,0.005786,0.002613,0.002639,0.008399,59.1,False,False,False,False,A/Saskatchewan/SKFLU477727/2025_H3N2,20,B5,
20260730_single_well_H1_vax_old_strains,C5,A/California/NIRC-IS-1356/2025_H1N1,1,2,2,kept,1157419,44015,1113404,1101825,23,4660,6896,0.9896,2.066e-05,0.004185,0.006194,0.006214,0.01038,25.03,False,False,False,False,A/Michigan/UM-10068134090/2025_H3N2,7,C5,
20260730_single_well_H1_vax_old_strains,D5,A/Netherlands/543/2026_H1N1,1,2,2,kept,1834990,42211,1792779,1778173,40,8166,6400,0.9919,2.231e-05,0.004555,0.00357,0.003592,0.008125,42.13,False,False,False,False,A/Thuringen/39/2026_H3N2,17,D5,
20260730_single_well_H1_vax_old_strains,E5,A/Galicia/GA-CHUAC-612/2025_H1N1,1,2,2,kept,1369654,36304,1333350,1320929,34,6482,5905,0.9907,2.55e-05,0.004861,0.004429,0.004454,0.00929,36.39,False,False,False,False,A/California/GKISBBBH79910/2026_H3N2,7,E5,
20260730_single_well_H1_vax_old_strains,F5,A/Denmark/4774/2025_H1N1,1,2,2,kept,1367514,22099,1345415,1334022,21,7812,3560,0.9915,1.561e-05,0.005806,0.002646,0.002662,0.008452,60.37,False,False,False,False,A/SouthCarolina/USAFSAM-17046/2026_H3N2,10,F5,
20260730_single_well_H1_vax_old_strains,G5,A/PaisVasco/70369726/2026_H1N1,1,2,2,kept,1439552,58507,1381045,1365000,24,6180,9841,0.9884,1.738e-05,0.004475,0.007126,0.007143,0.0116,23.33,False,False,False,False,A/NakhonPhanom/P495/2026_H3N2,13,G5,
20260730_single_well_H1_vax_old_strains,H5,A/MinasGerais/410/2026_H1N1,1,2,2,kept,1500975,46063,1454912,1442074,28,5413,7397,0.9912,1.925e-05,0.00372,0.005084,0.005103,0.008805,31.31,False,False,False,False,A/Romania/612042/2026_H3N2,13,H5,
20260730_single_well_H1_vax_old_strains,A6,A/Hessen/18/2026_H1N1,1,2,2,kept,1909268,40009,1869259,1856119,45,6655,6440,0.993,2.407e-05,0.00356,0.003445,0.003469,0.007005,46.39,False,False,False,False,A/Victoria/2948/2025_H3N2,15,A6,
20260730_single_well_H1_vax_old_strains,B6,A/France/GES-IPP00659/2026_H1N1,1,2,2,kept,2354679,34383,2320296,2299505,60,15011,5720,0.991,2.586e-05,0.006469,0.002465,0.002491,0.008935,66.88,False,False,False,False,A/Michigan/UM-10068747355/2026_H3N2,13,B6,
20260730_single_well_H1_vax_old_strains,C6,A/Netherlands/446/2026_H1N1,1,2,0,dropped from the library,1868966,22830,1846136,113699,1719956,843,11638,0.06159,0.9317,0.0004566,0.006304,0.938,0.006761,4.98,False,False,True,False,A/Galicia/GA-CHUAC-612/2025_H1N1,1719916,E5,2
20260730_single_well_H1_vax_old_strains,D6,A/Ukraine/5214/2026_H1N1,1,2,2,kept,1880799,15584,1865215,1854604,36,7831,2744,0.9943,1.93e-05,0.004198,0.001471,0.00149,0.00567,119,False,False,False,False,A/Michigan/UM-10068747355/2026_H3N2,7,B6,
20260730_single_well_H1_vax_old_strains,E6,A/Vietnam/PF126009/2026_H1N1,1,2,2,kept,2211817,71685,2140132,2113051,48,15082,11951,0.9873,2.243e-05,0.007047,0.005584,0.005607,0.01263,29.48,False,False,False,False,A/Missouri/NIRC-AV-1003/2025_H3N2,14,E6,
20260730_single_well_H1_vax_old_strains,F6,A/France/ARA-HCL025195259501/2025_H1N1,1,2,2,kept,1652903,15611,1637292,1628334,46,6097,2815,0.9945,2.81e-05,0.003724,0.001719,0.001747,0.005443,104.3,False,False,False,False,A/France/OCC-HCL026013263701/2026_H3N2,17,F6,
20260730_single_well_H1_vax_old_strains,G6,A/NordrheinWestfalen/96/2026_H1N1,1,2,2,kept,1825410,19337,1806073,1794968,33,7827,3245,0.9939,1.827e-05,0.004334,0.001797,0.001815,0.00613,92.83,False,False,False,False,A/Ontario/PHL202550193/2025_H3N2,9,G6,
20260730_single_well_H1_vax_old_strains,H6,A/Arizona/40/2026_H1N1,1,2,2,kept,1466098,59728,1406370,1386828,29,7666,11847,0.9861,2.062e-05,0.005451,0.008424,0.008444,0.01387,23.22,False,False,False,False,A/Netherlands/888/2026_H3N2,5,H6,
20260730_single_well_H1_vax_old_strains,A7,A/MinasGerais/671/2026_H1N1,1,2,2,kept,2308957,126509,2182448,2149842,57,12258,20291,0.9851,2.612e-05,0.005617,0.009297,0.009323,0.01491,16.99,False,False,False,False,A/SouthAustralia/2605715552/2026_H3N2,13,A7,
20260730_single_well_H1_vax_old_strains,B7,A/SouthAfrica/NICD-R01647/2026_H1N1,1,2,2,kept,723174,23343,699831,692603,18,3584,3626,0.9897,2.572e-05,0.005121,0.005181,0.005207,0.0103,29.67,False,False,False,False,A/France/HDF-IPP01550/2026_H3N2,3,B7,
20260730_single_well_H1_vax_old_strains,C7,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,1,2,2,kept,913928,19284,894644,885600,12,6014,3018,0.9899,1.341e-05,0.006722,0.003373,0.003387,0.0101,45.92,False,False,False,False,A/Wisconsin/67/2022_H1N1,3,G7,4
20260730_single_well_H1_vax_old_strains,D7,A/Mauritius/26000203/2026_H1N1,1,2,2,kept,2096153,88891,2007262,1981690,49,11269,14254,0.9873,2.441e-05,0.005614,0.007101,0.007126,0.01272,22.29,False,False,False,False,A/Parana/416133590/2026_H3N2,12,D7,
20260730_single_well_H1_vax_old_strains,E7,A/SouthAfrica/NICD-R01668/2026_H1N1,1,2,2,kept,1408872,34085,1374787,1342040,18327,8801,5619,0.9762,0.01333,0.006402,0.004087,0.01742,0.01049,39.37,False,False,True,False,A/RiodeJaneiro/331/2026_H3N2,18294,B9,
20260730_single_well_H1_vax_old_strains,F7,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1,1,2,2,kept,1516138,1269485,246653,51043,540,10213,184857,0.2069,0.002189,0.04141,0.7495,0.7517,0.7909,0.04021,False,False,False,True,A/SouthAfrica/NICD-R01668/2026_H1N1,386,E7,1
20260730_single_well_H1_vax_old_strains,G7,A/Wisconsin/67/2022_H1N1,1,3,3,kept,2027563,145484,1882079,1847000,44,11751,23284,0.9814,2.338e-05,0.006244,0.01237,0.01239,0.01862,12.7,False,False,False,False,A/Bolivia/OR5702/2025_H3N2,15,G7,
20260730_single_well_H1_vax_old_strains,H7,A/Wisconsin/588/2019_H1N1,1,3,3,kept,1638497,70148,1568349,1551330,34,5863,11122,0.9891,2.168e-05,0.003738,0.007092,0.007113,0.01083,22.12,False,False,False,False,A/NewYork/NIRC-IS-1086/2026_H3N2,13,H7,
20260730_single_well_H1_vax_old_strains,A8,A/Victoria/4897/2022_IVR-238_H1N1,1,3,3,kept,1820473,73497,1746976,1726901,1170,7830,11075,0.9885,0.0006697,0.004482,0.00634,0.007009,0.01082,23.5,False,False,False,False,A/Thailand/8/2022_H3N2,1122,B8,1
20260730_single_well_H1_vax_old_strains,B8,A/Thailand/8/2022_H3N2,1,3,3,kept,2427061,37203,2389858,2370060,276,13442,6080,0.9917,0.0001155,0.005625,0.002544,0.00266,0.008169,63.71,False,False,False,False,A/Victoria/4897/2022_IVR-238_H1N1,209,A8,1
20260730_single_well_H1_vax_old_strains,C8,A/Massachusetts/18/2022_H3N2,1,3,3,kept,1000880,9050,991830,886411,95,3868,101456,0.8937,9.578e-05,0.0039,0.1023,0.1024,0.1062,97.95,False,False,False,True,A/Hawaii/70/2019_H1N1,72,D8,1
20260730_single_well_H1_vax_old_strains,D8,A/Hawaii/70/2019_H1N1,1,4,3,"kept, some barcodes dropped",417393,20875,396518,389281,1946,2096,3195,0.9817,0.004908,0.005286,0.008058,0.01297,0.01334,18.65,False,False,False,False,A/District_Of_Columbia/27/2023_H3N2,1921,E8,1
20260730_single_well_H1_vax_old_strains,E8,A/District_Of_Columbia/27/2023_H3N2,1,3,3,kept,1375980,24012,1351968,1340503,719,6786,3960,0.9915,0.0005318,0.005019,0.002929,0.003461,0.007948,55.83,False,False,False,False,A/Hawaii/70/2019_H1N1,685,D8,1
20260730_single_well_H1_vax_old_strains,F8,A/Croatia/10136RV/2023_H3N2,1,2,2,kept,2380319,16208,2364111,2331170,15943,14006,2992,0.9861,0.006744,0.005924,0.001266,0.008009,0.00719,143.8,False,False,True,False,A/Colombia/1851/2024_H3N2,15888,G8,1
20260730_single_well_H1_vax_old_strains,G8,A/Colombia/1851/2024_H3N2,1,2,2,kept,1961613,43133,1918480,1898841,3261,9526,6852,0.9898,0.0017,0.004965,0.003572,0.005271,0.008537,44.02,False,False,False,False,A/Hawaii/ISC-1140/2025_H1N1,2331,H8,1
20260730_single_well_H1_vax_old_strains,H8,A/Hawaii/ISC-1140/2025_H1N1,1,2,2,kept,622938,41627,581311,544029,27582,2977,6723,0.9359,0.04745,0.005121,0.01157,0.05901,0.01669,13.07,False,False,True,False,A/Colombia/1851/2024_H3N2,26993,G8,1
20260730_single_well_H1_vax_old_strains,B9,A/Ohio/259/2024_H1N1,1,2,2,kept,1074816,45849,1028967,1016026,32,5244,7665,0.9874,3.11e-05,0.005096,0.007449,0.00748,0.01255,22.16,False,False,False,False,A/RiodeJaneiro/331/2026_H3N2,9,B9,
20260730_single_well_H1_vax_old_strains,C9,A/Colorado/218/2024_H1N1,1,2,2,kept,1104946,30123,1074823,1064476,39,5410,4898,0.9904,3.629e-05,0.005033,0.004557,0.004593,0.00959,35.34,False,False,False,False,A/Massachusetts/18/2022_H3N2,9,C8,1
20260730_single_well_H1_vax_old_strains,D9,A/Zacapa/FLU-012/2025_H1N1,1,2,2,kept,1656270,74017,1582253,1561566,29,9616,11042,0.9869,1.833e-05,0.006077,0.006979,0.006997,0.01306,21.1,False,False,False,False,A/Massachusetts/18/2022_H3N2,5,C8,1
20260730_single_well_H1_vax_old_strains,E9,A/Tokyo/EIS11-277/2024_H1N1,1,2,2,kept,747236,27728,719508,711019,279,3891,4319,0.9882,0.0003878,0.005408,0.006003,0.00639,0.01141,25.64,False,False,False,False,A/Singapore/MOH0547/2024_H1N1,273,F9,1
20260730_single_well_H1_vax_old_strains,F9,A/Singapore/MOH0547/2024_H1N1,1,2,2,kept,2312428,95174,2217254,2188106,3209,10275,15664,0.9869,0.001447,0.004634,0.007065,0.008512,0.0117,22.99,False,False,False,False,A/Tokyo/EIS11-277/2024_H1N1,3191,E9,1
20260730_single_well_H1_vax_old_strains,G9,A/Galicia/GA-CHUAC-451/2025_H3N2,1,2,2,kept,718219,5609,712610,708075,3,3594,938,0.9936,4.21e-06,0.005043,0.001316,0.00132,0.00636,126.2,False,False,False,False,A/Andalucia/PMC-01217/2025_H1N1,1,B5,5
20260730_single_well_H1_vax_old_strains,H9,A/Distrito_Federal/250106000728/2025_H3N2,1,2,2,kept,1883230,24040,1859190,1845389,16,9335,4450,0.9926,8.606e-06,0.005021,0.002394,0.002402,0.007415,76.76,False,False,False,False,A/Kentucky/80/2025_H1N1,2,A3,7
20260730_single_well_H1_vax_old_strains,A10,A/Bangkok/P2390/2025_H3N2,1,2,2,kept,2022514,21251,2001263,1986567,31,10638,4027,0.9927,1.549e-05,0.005316,0.002012,0.002028,0.007328,93.48,False,False,False,False,A/Hawaii/70/2019_H1N1,3,D8,3
20260730_single_well_H1_vax_old_strains,B10,A/Darwin/1415/2025_H3N2,1,2,2,kept,2161150,20991,2140159,2123263,34,13654,3208,0.9921,1.589e-05,0.00638,0.001499,0.001515,0.007879,101.2,False,False,False,False,A/California/NIRC-IS-1019/2026_H1N1,4,D3,7
20260730_single_well_H1_vax_old_strains,C10,A/Missouri/11/2025_cell_H1N1,1,2,2,kept,792398,14744,777654,770875,8,4479,2292,0.9913,1.029e-05,0.00576,0.002947,0.002958,0.008707,52.28,False,False,False,False,A/Wisconsin/67/2022_H1N1,2,G7,4
20260730_single_well_H1_vax_old_strains,D10,A/Norway/9556/2025_H1N1,1,2,2,kept,1522424,67959,1454465,1431021,17,11072,12355,0.9839,1.169e-05,0.007612,0.008495,0.008506,0.01611,21.06,False,False,False,False,A/Thailand/8/2022_H3N2,7,B8,2
20260730_single_well_H1_vax_old_strains,E10,A/Andalucia/PMC-00977/2025_H1N1,1,2,2,kept,1908111,44372,1863739,1847132,10,8767,7830,0.9911,5.366e-06,0.004704,0.004201,0.004207,0.008905,41.63,False,False,False,False,A/France/HDF-RELAB-IPP07969/2025_H1N1,1,D2,8
20260730_single_well_H1_vax_old_strains,F10,A/Lisboa/216/2023_H3N2,1,2,2,kept,2337183,1151091,1186092,854426,72,161567,170027,0.7204,6.07e-05,0.1362,0.1434,0.1434,0.2796,0.7423,False,False,False,True,A/Wisconsin/67/2022_H1N1,40,G7,3
20260730_single_well_H1_vax_old_strains,G10,A/Netherlands/1739/2023_H1N1,1,3,0,dropped from the library,1271536,1024193,247343,80441,62,9217,157623,0.3252,0.0002507,0.03726,0.6373,0.6375,0.6745,0.07854,False,False,False,True,A/Massachusetts/18/2022_H3N2,28,C8,4
20260730_single_well_H1_vax_old_strains,H10,A/Vietnam/F7324/2024_H3N2,1,3,3,kept,1542623,35706,1506917,1492304,9,8730,5874,0.9903,5.972e-06,0.005793,0.003898,0.003904,0.009691,41.79,False,False,False,False,A/Malaysia/IMR/SARI/2406/2025_H3N2,2,D11,4
20260730_single_well_H1_vax_old_strains,A11,A/South_Australia/2523812314/2025_H3N2,1,2,2,kept,2252016,49236,2202780,2181954,28,12874,7924,0.9905,1.271e-05,0.005844,0.003597,0.00361,0.009442,44.32,False,False,False,False,A/Thailand/8/2022_H3N2,2,B8,3
20260730_single_well_H1_vax_old_strains,B11,A/South_Australia/2527213276/2025_H3N2,1,2,2,kept,1279739,9994,1269745,1260855,17,6879,1994,0.993,1.339e-05,0.005418,0.00157,0.001584,0.006988,126.2,False,False,False,False,A/Texas/29/2026_H1N1,2,A5,6
20260730_single_well_H1_vax_old_strains,C11,A/Bangkok/P2391/2025_H3N2,1,2,2,kept,1903282,10183,1893099,1875910,18,15108,2063,0.9909,9.508e-06,0.007981,0.00109,0.001099,0.00907,184.2,False,False,False,False,A/France/HDF-RELAB-IPP07969/2025_H1N1,2,D2,9
20260730_single_well_H1_vax_old_strains,D11,A/Malaysia/IMR/SARI/2406/2025_H3N2,1,2,2,kept,2255662,29272,2226390,2209049,15,12720,4606,0.9922,6.737e-06,0.005713,0.002069,0.002076,0.007782,75.47,False,False,False,False,A/Asturias/232590913/2025_H1N1,3,G4,7
20260730_single_well_H1_vax_old_strains,E11,A/Sydney/1359/2024_H3N2,1,2,2,kept,2236660,1906143,330517,24274,123,16474,289646,0.07344,0.0003721,0.04984,0.8763,0.8767,0.9262,0.01273,False,False,False,True,A/Massachusetts/18/2022_H3N2,76,C8,3
20260730_single_well_H3_strains,A1,A/Darwin/1454/2025_H3N2,1,2,2,kept,745839,4330,741509,737545,30,3410,524,0.9947,4.046e-05,0.004599,0.0007067,0.0007471,0.005305,170.3,False,False,False,False,A/Missouri/11/2025_egg_H1N1,10,A1,
20260730_single_well_H3_strains,B1,A/Singapore/GP20238/2024_H3N2,1,2,2,kept,604855,10956,593899,589428,12,2841,1618,0.9925,2.021e-05,0.004784,0.002724,0.002745,0.007508,53.8,False,False,False,False,A/Thuringen/39/2026_H3N2,1,D5,4
20260730_single_well_H3_strains,C1,A/Badajoz/18811358/2026_H3N2,1,2,2,kept,1246060,8811,1237249,1230978,28,4902,1341,0.9949,2.263e-05,0.003962,0.001084,0.001106,0.005046,139.7,False,False,False,False,A/Rhode_Island/11/2026_H1N1,12,C1,
20260730_single_well_H3_strains,D1,A/StPetersburg/RII-25-2042S/2025_H3N2,1,2,2,kept,833584,5408,828176,823456,14,3946,760,0.9943,1.69e-05,0.004765,0.0009177,0.0009346,0.005682,152.3,False,False,False,False,A/Denmark/3940/2025_H3N2,2,C2,1
20260730_single_well_H3_strains,E1,A/Ireland/91576/2025_H3N2,1,2,2,kept,373468,3536,369932,367462,7,1888,575,0.9933,1.892e-05,0.005104,0.001554,0.001573,0.006658,103.9,False,False,False,False,A/Norway/9556/2025_H1N1,1,D10,
20260730_single_well_H3_strains,F1,A/Thuringen/16/2026_H3N2,1,2,2,kept,1497072,11578,1485494,1477311,11,6346,1826,0.9945,7.405e-06,0.004272,0.001229,0.001237,0.005501,127.6,False,False,False,False,A/Connecticut/5/2026_H3N2,2,D4,3
20260730_single_well_H3_strains,G1,A/StPetersburg/RII-25-2600S/2026_H3N2,1,2,2,kept,1860242,20969,1839273,1821729,19,14034,3491,0.9905,1.033e-05,0.00763,0.001898,0.001908,0.009528,86.88,False,False,False,False,A/Castellon/VAHNSI_02_02400/2025_H3N2,2,G4,3
20260730_single_well_H3_strains,H1,A/Astrakhan/RII-MH273373S/2025_H3N2,1,2,2,kept,1725210,22134,1703076,1691890,18,7852,3316,0.9934,1.057e-05,0.00461,0.001947,0.001958,0.006558,76.44,False,False,False,False,A/StPetersburg/RII-25-2506S/2026_H3N2,2,C4,5
