shortname,strain,subpool,remake_subpool,mean_fraction_strain,representation,previous_volume_uL,subpool_composition,predicted_fraction_strain,ratio_to_add,neat_volume_uL,dilution_factor,volume_to_add_uL
flu-seqneut-2026_H1N1_29,A/Vietnam/PF125413/2025_H1N1,flu-seqneut-2026_h1,False,0.005404,ok,89.38,0.01784,0.00639,,,,
flu-seqneut-2026_H1N1_30,A/Saskatchewan/SKFLU490586/2026_H1N1,flu-seqneut-2026_h1,False,0.00972,ok,151.4,0.0321,0.01149,,,,
flu-seqneut-2026_H1N1_31,A/Asturias/232590913/2025_H1N1,flu-seqneut-2026_h1,False,0.005158,ok,94.38,0.01703,0.0061,,,,
flu-seqneut-2026_H1N1_32,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,flu-seqneut-2026_h1,False,0.008135,ok,75.52,0.02687,0.009621,,,,
flu-seqneut-2026_H1N1_33,A/Texas/29/2026_H1N1,flu-seqneut-2026_h1,False,0.006507,ok,144.8,0.02149,0.007696,,,,
flu-seqneut-2026_H1N1_34,A/Andalucia/PMC-01217/2025_H1N1,flu-seqneut-2026_h1,False,0.003161,under,72.91,0.01044,0.003739,,,,
flu-seqneut-2026_H1N1_35,A/California/NIRC-IS-1356/2025_H1N1,flu-seqneut-2026_h1,False,0.005264,ok,146.3,0.01738,0.006226,,,,
flu-seqneut-2026_H1N1_36,A/Netherlands/543/2026_H1N1,flu-seqneut-2026_h1,False,0.005432,ok,37.33,0.01794,0.006424,,,,
flu-seqneut-2026_H1N1_37,A/Galicia/GA-CHUAC-612/2025_H1N1,flu-seqneut-2026_h1,False,0.003244,under,71.75,0.01071,0.003836,,,,
flu-seqneut-2026_H1N1_38,A/Denmark/4774/2025_H1N1,flu-seqneut-2026_h1,False,0.003886,under,30.2,0.01283,0.004595,,,,
flu-seqneut-2026_H1N1_39,A/PaisVasco/70369726/2026_H1N1,flu-seqneut-2026_h1,False,0.00907,ok,83.8,0.02995,0.01073,,,,
flu-seqneut-2026_H1N1_40,A/MinasGerais/410/2026_H1N1,flu-seqneut-2026_h1,False,0.004938,ok,32.91,0.01631,0.005839,,,,
flu-seqneut-2026_H1N1_41,A/Hessen/18/2026_H1N1,flu-seqneut-2026_h1,False,0.008005,ok,21.95,0.02643,0.009467,,,,
flu-seqneut-2026_H1N1_42,A/France/GES-IPP00659/2026_H1N1,flu-seqneut-2026_h1,False,0.006452,ok,62.01,0.0213,0.007629,,,,
flu-seqneut-2026_H1N1_44,A/Ukraine/5214/2026_H1N1,flu-seqneut-2026_h1,False,0.004871,ok,70.95,0.01609,0.005761,,,,
flu-seqneut-2026_H1N1_45,A/Vietnam/PF126009/2026_H1N1,flu-seqneut-2026_h1,False,0.00617,ok,112.4,0.02038,0.007297,,,,
flu-seqneut-2026_H1N1_46,A/France/ARA-HCL025195259501/2025_H1N1,flu-seqneut-2026_h1,False,0.007562,ok,74.18,0.02497,0.008943,,,,
flu-seqneut-2026_H1N1_47,A/NordrheinWestfalen/96/2026_H1N1,flu-seqneut-2026_h1,False,0.006332,ok,39.33,0.02091,0.007488,,,,
flu-seqneut-2026_H1N1_48,A/Arizona/40/2026_H1N1,flu-seqneut-2026_h1,False,0.005141,ok,108.9,0.01698,0.00608,,,,
flu-seqneut-2026_H1N1_49,A/MinasGerais/671/2026_H1N1,flu-seqneut-2026_h1,False,0.006976,ok,56.32,0.02304,0.00825,,,,
flu-seqneut-2026_H1N1_50,A/SouthAfrica/NICD-R01647/2026_H1N1,flu-seqneut-2026_h1,False,0.006528,ok,90.46,0.02156,0.00772,,,,
flu-seqneut-2026_H1N1_51,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,flu-seqneut-2026_h1,False,0.003652,under,105.6,0.01206,0.004319,,,,
flu-seqneut-2026_H1N1_52,A/Mauritius/26000203/2026_H1N1,flu-seqneut-2026_h1,False,0.005865,ok,105.5,0.01937,0.006936,,,,
flu-seqneut-2026_H1N1_53,A/SouthAfrica/NICD-R01668/2026_H1N1,flu-seqneut-2026_h1,False,0.005034,ok,106.2,0.01662,0.005953,,,,
flu-seqneut-2026_H1N1_54,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1,flu-seqneut-2026_h1,False,0.007494,ok,101.8,0.02475,0.008862,,,,
flu-seqneut-2026_H3N2_1,A/Darwin/1454/2025_H3N2,flu-seqneut-2026_h3,False,0.00321,under,26.8,0.008278,0.003692,,,,
flu-seqneut-2026_H3N2_2,A/Singapore/GP20238/2024_H3N2,flu-seqneut-2026_h3,False,0.006334,ok,22.34,0.01633,0.007284,,,,
flu-seqneut-2026_H3N2_3,A/Badajoz/18811358/2026_H3N2,flu-seqneut-2026_h3,False,0.004485,under,28.09,0.01157,0.005158,,,,
flu-seqneut-2026_H3N2_4,A/StPetersburg/RII-25-2042S/2025_H3N2,flu-seqneut-2026_h3,False,0.0063,ok,13.95,0.01625,0.007246,,,,
flu-seqneut-2026_H3N2_5,A/Ireland/91576/2025_H3N2,flu-seqneut-2026_h3,False,0.005747,ok,16.04,0.01482,0.006609,,,,
flu-seqneut-2026_H3N2_6,A/Thuringen/16/2026_H3N2,flu-seqneut-2026_h3,False,0.003737,under,10.94,0.009637,0.004298,,,,
flu-seqneut-2026_H3N2_7,A/StPetersburg/RII-25-2600S/2026_H3N2,flu-seqneut-2026_h3,False,0.003274,under,36.18,0.008442,0.003765,,,,
flu-seqneut-2026_H3N2_8,A/Astrakhan/RII-MH273373S/2025_H3N2,flu-seqneut-2026_h3,False,0.00843,ok,23.56,0.02174,0.009694,,,,
flu-seqneut-2026_H3N2_9,A/Massachusetts/ISC-1856/2025_H3N2,flu-seqneut-2026_h3,False,0.004111,under,22.32,0.0106,0.004728,,,,
flu-seqneut-2026_H3N2_10,A/Florida/ISC-1069/2026_H3N2,flu-seqneut-2026_h3,False,0.004064,under,36.81,0.01048,0.004674,,,,
flu-seqneut-2026_H3N2_11,A/Denmark/3940/2025_H3N2,flu-seqneut-2026_h3,False,0.006249,ok,55.4,0.01611,0.007186,,,,
flu-seqneut-2026_H3N2_12,A/France/PAC-RELAB-HCL026021993801/2026_H3N2,flu-seqneut-2026_h3,False,0.005007,ok,12.8,0.01291,0.005758,,,,
flu-seqneut-2026_H3N2_13,A/Luxembourg/LNS9132577/2026_H3N2,flu-seqneut-2026_h3,False,0.006027,ok,36.55,0.01554,0.006932,,,,
flu-seqneut-2026_H3N2_14,A/California/NIRC-IS-1067/2026_H3N2,flu-seqneut-2026_h3,False,0.006987,ok,69.6,0.01802,0.008036,,,,
flu-seqneut-2026_H3N2_15,A/France/HDF-RELAB-IPP00300/2026_H3N2,flu-seqneut-2026_h3,False,0.005902,ok,27.1,0.01522,0.006788,,,,
flu-seqneut-2026_H3N2_16,A/NovaScotia/25-365-06099/2025_H3N2,flu-seqneut-2026_h3,False,0.007274,ok,13.01,0.01876,0.008366,,,,
flu-seqneut-2026_H3N2_17,A/StPetersburg/RII-25-2321S/2025_H3N2,flu-seqneut-2026_h3,False,0.003423,under,20.85,0.008828,0.003937,,,,
flu-seqneut-2026_H3N2_18,A/NordrheinWestfalen/54/2026_H3N2,flu-seqneut-2026_h3,False,0.005949,ok,23.88,0.01534,0.006842,,,,
flu-seqneut-2026_H3N2_19,A/SantaCatarina/508/2026_H3N2,flu-seqneut-2026_h3,False,0.0065,ok,19.53,0.01676,0.007476,,,,
flu-seqneut-2026_H3N2_20,A/Trieste/380/2026_H3N2,flu-seqneut-2026_h3,False,0.003384,under,25.1,0.008728,0.003892,,,,
flu-seqneut-2026_H3N2_21,A/Michigan/UM-10068071276/2025_H3N2,flu-seqneut-2026_h3,False,0.004345,under,37.93,0.01121,0.004997,,,,
flu-seqneut-2026_H3N2_22,A/Singapore/NTF0577/2025_H3N2,flu-seqneut-2026_h3,False,0.006763,ok,40.45,0.01744,0.007778,,,,
flu-seqneut-2026_H3N2_23,A/California/NIRC-IS-1059/2026_H3N2,flu-seqneut-2026_h3,False,0.005304,ok,14.09,0.01368,0.006099,,,,
flu-seqneut-2026_H3N2_24,A/Germany/LRMC_0104/2025_H3N2,flu-seqneut-2026_h3,False,0.006533,ok,12.43,0.01685,0.007514,,,,
flu-seqneut-2026_H3N2_25,A/France/HDF-RELAB-IPP00303/2026_H3N2,flu-seqneut-2026_h3,False,0.006117,ok,15.19,0.01577,0.007035,,,,
flu-seqneut-2026_H3N2_26,A/Germany/LRMC_0113/2025_H3N2,flu-seqneut-2026_h3,False,0.006345,ok,21.41,0.01636,0.007298,,,,
flu-seqneut-2026_H3N2_27,A/StPetersburg/RII-25-2506S/2026_H3N2,flu-seqneut-2026_h3,False,0.02205,over,6.461,0.05687,0.02536,,,,
flu-seqneut-2026_H3N2_28,A/Connecticut/5/2026_H3N2,flu-seqneut-2026_h3,False,0.005641,ok,34.6,0.01455,0.006488,,,,
flu-seqneut-2026_H3N2_29,A/Singapore/SAR8915/2025_H3N2,flu-seqneut-2026_h3,False,0.005077,ok,11.77,0.01309,0.005839,,,,
flu-seqneut-2026_H3N2_30,A/France/ARA-HCL026031894402/2026_H3N2,flu-seqneut-2026_h3,False,0.005558,ok,11.31,0.01433,0.006392,,,,
flu-seqneut-2026_H3N2_31,A/Castellon/VAHNSI_02_02400/2025_H3N2,flu-seqneut-2026_h3,False,0.006007,ok,18.35,0.01549,0.006909,,,,
flu-seqneut-2026_H3N2_32,A/Trieste/257/2025_H3N2,flu-seqneut-2026_h3,False,0.009107,ok,17.76,0.02349,0.01047,,,,
flu-seqneut-2026_H3N2_33,A/Badajoz/18738342/2026_H3N2,flu-seqneut-2026_h3,False,0.004872,ok,14.79,0.01257,0.005604,,,,
flu-seqneut-2026_H3N2_34,A/Saskatchewan/SKFLU477727/2025_H3N2,flu-seqneut-2026_h3,False,0.00426,under,98.6,0.01099,0.004899,,,,
flu-seqneut-2026_H3N2_35,A/Michigan/UM-10068134090/2025_H3N2,flu-seqneut-2026_h3,False,0.01064,over,7.235,0.02744,0.01223,,,,
flu-seqneut-2026_H3N2_36,A/Thuringen/39/2026_H3N2,flu-seqneut-2026_h3,False,0.007717,ok,33.16,0.0199,0.008875,,,,
flu-seqneut-2026_H3N2_37,A/California/GKISBBBH79910/2026_H3N2,flu-seqneut-2026_h3,False,0.005274,ok,23.17,0.0136,0.006066,,,,
flu-seqneut-2026_H3N2_38,A/SouthCarolina/USAFSAM-17046/2026_H3N2,flu-seqneut-2026_h3,False,0.003348,under,106.7,0.008634,0.00385,,,,
flu-seqneut-2026_H3N2_39,A/NakhonPhanom/P495/2026_H3N2,flu-seqneut-2026_h3,False,0.0081,ok,10.85,0.02089,0.009316,,,,
flu-seqneut-2026_H3N2_40,A/Romania/612042/2026_H3N2,flu-seqneut-2026_h3,False,0.004867,ok,12.81,0.01255,0.005597,,,,
flu-seqneut-2026_H3N2_41,A/Victoria/2948/2025_H3N2,flu-seqneut-2026_h3,False,0.003246,under,16.08,0.008371,0.003733,,,,
flu-seqneut-2026_H3N2_42,A/Michigan/UM-10068747355/2026_H3N2,flu-seqneut-2026_h3,False,0.002816,under,28.28,0.007261,0.003238,,,,
flu-seqneut-2026_H3N2_43,A/Netherlands/968/2026_H3N2,flu-seqneut-2026_h3,False,0.003491,under,47.33,0.009002,0.004014,,,,
flu-seqneut-2026_H3N2_45,A/Missouri/NIRC-AV-1003/2025_H3N2,flu-seqneut-2026_h3,False,0.004082,under,29.78,0.01053,0.004694,,,,
flu-seqneut-2026_H3N2_46,A/France/OCC-HCL026013263701/2026_H3N2,flu-seqneut-2026_h3,False,0.00557,ok,64.15,0.01436,0.006405,,,,
flu-seqneut-2026_H3N2_47,A/Ontario/PHL202550193/2025_H3N2,flu-seqneut-2026_h3,False,0.006785,ok,14.16,0.0175,0.007803,,,,
flu-seqneut-2026_H3N2_48,A/Netherlands/888/2026_H3N2,flu-seqneut-2026_h3,False,0.01112,over,11.57,0.02867,0.01278,,,,
flu-seqneut-2026_H3N2_49,A/SouthAustralia/2605715552/2026_H3N2,flu-seqneut-2026_h3,False,0.008263,ok,17.41,0.02131,0.009503,,,,
flu-seqneut-2026_H3N2_50,A/France/HDF-IPP01550/2026_H3N2,flu-seqneut-2026_h3,False,0.005356,ok,14.02,0.01381,0.00616,,,,
flu-seqneut-2026_H3N2_51,A/Saskatchewan/SKFLU477299/2025_H3N2,flu-seqneut-2026_h3,False,0.004118,under,9.353,0.01062,0.004736,,,,
flu-seqneut-2026_H3N2_52,A/Parana/416133590/2026_H3N2,flu-seqneut-2026_h3,False,0.005882,ok,24.31,0.01517,0.006764,,,,
flu-seqneut-2026_H3N2_53,A/Montana/51/2025_H3N2,flu-seqneut-2026_h3,False,0.00582,ok,16.28,0.01501,0.006694,,,,
flu-seqneut-2026_H3N2_54,A/France/GES-IPP01077/2026_H3N2,flu-seqneut-2026_h3,False,0.006334,ok,10.75,0.01634,0.007285,,,,
flu-seqneut-2026_H3N2_55,A/Bolivia/OR5702/2025_H3N2,flu-seqneut-2026_h3,False,0.006426,ok,44.98,0.01657,0.00739,,,,
flu-seqneut-2026_H3N2_56,A/NewYork/NIRC-IS-1086/2026_H3N2,flu-seqneut-2026_h3,False,0.006754,ok,41.09,0.01742,0.007767,,,,
flu-seqneut-2026_H3N2_57,A/Michigan/8/2026_H3N2,flu-seqneut-2026_h3,False,0.003497,under,33.83,0.009019,0.004022,,,,
flu-seqneut-2026_H3N2_58,A/Peru/ANC-INS-062/2026_H3N2,flu-seqneut-2026_h3,False,0.008009,ok,7.754,0.02065,0.00921,,,,
flu-seqneut-2026_H3N2_59,A/Blaenavon/6687/2026_H3N2,flu-seqneut-2026_h3,False,0.007616,ok,31.32,0.01964,0.008759,,,,
flu-seqneut-2026_H3N2_60,A/Oregon/81/2025_H3N2,flu-seqneut-2026_h3,False,0.005295,ok,16.5,0.01366,0.00609,,,,
flu-seqneut-2026_H3N2_61,A/Michigan/UM-10068449788/2025_H3N2,flu-seqneut-2026_h3,False,0.004724,ok,27.2,0.01218,0.005433,,,,
flu-seqneut-2026_H3N2_62,A/France/NAQ-HCL026010957001/2026_H3N2,flu-seqneut-2026_h3,False,0.005523,ok,24.74,0.01424,0.006351,,,,
flu-seqneut-2026_H3N2_63,A/Michigan/UM-10068456988/2025_H3N2,flu-seqneut-2026_h3,False,0.006624,ok,14.51,0.01708,0.007618,,,,
flu-seqneut-2026_H3N2_64,A/Badajoz/18813527/2026_H3N2,flu-seqneut-2026_h3,False,0.004113,under,26.33,0.01061,0.004731,,,,
flu-seqneut-2026_H3N2_65,A/BritishColumbia/RV00279-26/2025_H3N2,flu-seqneut-2026_h3,False,0.005119,ok,31.66,0.0132,0.005887,,,,
flu-seqneut-2026_H3N2_66,A/RiodeJaneiro/331/2026_H3N2,flu-seqneut-2026_h3,False,0.003704,under,32.1,0.009551,0.004259,,,,
flu-seqneut-2026_H3N2_67,A/Navarra/260009/2025_H3N2,flu-seqneut-2026_h3,False,0.003158,under,20.62,0.008144,0.003632,,,,
flu-seqneut-25to26_H1N1_3,A/Andalucia/PMC-00977/2025_H1N1,old_h1_vax,False,0.005885,ok,44.34,0.06353,0.005581,,,,
flu-seqneut-25to26_H1N1_5,A/Norway/9556/2025_H1N1,old_h1_vax,False,0.004603,ok,80.9,0.0497,0.004365,,,,
flu-seqneut-25to26_H1N1_25,A/Missouri/11/2025_cell_H1N1,old_h1_vax,False,0.009151,ok,248.8,0.09879,0.008678,,,,
flu-seqneut-2025_H1N1_5,A/Singapore/MOH0547/2024_H1N1,old_h1_vax,False,0.005971,ok,110.4,0.06446,0.005662,,,,
flu-seqneut-2025_H1N1_9,A/Tokyo/EIS11-277/2024_H1N1,old_h1_vax,False,0.008253,ok,135.1,0.0891,0.007827,,,,
flu-seqneut-2025_H1N1_24,A/Zacapa/FLU-012/2025_H1N1,old_h1_vax,False,0.009886,ok,57.23,0.1067,0.009375,,,,
flu-seqneut-2025_H1N1_25,A/Colorado/218/2024_H1N1,old_h1_vax,False,0.004409,under,111.5,0.0476,0.004181,,,,
flu-seqneut-2025_H1N1_27,A/Ohio/259/2024_H1N1,old_h1_vax,False,0.005967,ok,161.2,0.06442,0.005658,,,,
flu-seqneut-2025_H1N1_37,A/Hawaii/ISC-1140/2025_H1N1,old_h1_vax,False,0.00336,under,161.4,0.03628,0.003187,,,,
flu_seqneut_pdmH1N1_2023-2024_IVR238,A/Victoria/4897/2022_IVR-238_H1N1,old_h1_vax,False,0.00454,ok,252.4,0.04901,0.004305,,,,
flu_seqneut_pdmH1N1_2023-2024_VS4,A/Wisconsin/588/2019_H1N1,old_h1_vax,False,0.01169,over,167.4,0.1262,0.01108,,,,
flu_seqneut_pdmH1N1_2023-2024_VS5,A/Hawaii/70/2019_H1N1,old_h1_vax,False,0.01075,over,153.9,0.116,0.01019,,,,
flu_seqneut_pdmH1N1_2023-2024_VS6,A/Wisconsin/67/2022_H1N1,old_h1_vax,False,0.008168,ok,389.8,0.08818,0.007746,,,,
flu-seqneut-25to26_H3N2_1,A/Darwin/1415/2025_H3N2,old_h3_vax,True,0.0048,ok,21.54,0.0625,0.006757,1.226,31.15,1,31.15
flu-seqneut-25to26_H3N2_3,A/Bangkok/P2390/2025_H3N2,old_h3_vax,True,0.005063,ok,29.33,0.0625,0.006757,1.583,40.2,1,40.2
flu-seqneut-25to26_H3N2_8,A/Distrito_Federal/250106000728/2025_H3N2,old_h3_vax,True,0.006972,ok,27.02,0.0625,0.006757,1.059,26.9,1,26.9
flu-seqneut-25to26_H3N2_19,A/Galicia/GA-CHUAC-451/2025_H3N2,old_h3_vax,True,0.02491,over,7.432,0.0625,0.006757,0.0815,2.071,5,10.35
flu-seqneut-25to26_H3N2_21,A/Sydney/1359/2024_H3N2,old_h3_vax,True,0.00493,ok,29.81,0.0625,0.006757,1.652,41.97,1,41.97
flu-seqneut-25to26_H3N2_22,A/Malaysia/IMR/SARI/2406/2025_H3N2,old_h3_vax,True,0.004594,ok,26.29,0.0625,0.006757,1.564,39.72,1,39.72
flu-seqneut-25to26_H3N2_25,A/Bangkok/P2391/2025_H3N2,old_h3_vax,True,0.07915,over,7.423,0.0625,0.006757,0.02562,0.6509,20,13.02
flu-seqneut-25to26_H3N2_35,A/South_Australia/2527213276/2025_H3N2,old_h3_vax,True,0.007737,ok,21.06,0.0625,0.006757,0.7436,18.89,1,18.89
flu-seqneut-25to26_H3N2_46,A/South_Australia/2523812314/2025_H3N2,old_h3_vax,True,0.004583,ok,69.89,0.0625,0.006757,4.167,105.9,1,105.9
flu-seqneut-2025_H3N2_9,A/Colombia/1851/2024_H3N2,old_h3_vax,True,0.008326,ok,49.99,0.0625,0.006757,1.64,41.67,1,41.67
flu-seqneut-2025_H3N2_59,A/Lisboa/216/2023_H3N2,old_h3_vax,True,0.02205,over,20.15,0.0625,0.006757,0.2496,6.342,2,12.68
flu-seqneut-2025_H3N2_77,A/Croatia/10136RV/2023_H3N2,old_h3_vax,True,0.01038,over,146.6,0.0625,0.006757,3.858,98.01,1,98.01
flu-seqneut-2025_H3N2_Vax1,A/District_Of_Columbia/27/2023_H3N2,old_h3_vax,True,0.006233,ok,25.33,0.0625,0.006757,1.11,28.21,1,28.21
flu-seqneut-DRIVE-2018to2026_H3N2_29,A/Vietnam/F7324/2024_H3N2,old_h3_vax,True,0.0102,over,32.09,0.0625,0.006757,0.8594,21.83,1,21.83
flu-seqneut-H3-2023to2024_H3N2_32,A/Massachusetts/18/2022_H3N2,old_h3_vax,True,0.008098,ok,76.3,0.0625,0.006757,2.574,65.4,1,65.4
flu-seqneut-H3-2023to2024_H3N2_79,A/Thailand/8/2022_H3N2,old_h3_vax,True,0.008754,ok,240.5,0.0625,0.006757,7.506,190.7,1,190.7
