shortname,strain,subpool,mean_fraction_strain,ratio_to_add,volume_to_add_uL
flu-seqneut-2026_H1N1_40,A/MinasGerais/410/2026_H1N1,flu-seqneut-2026_h1,0.00296,0.7607,32.91
flu-seqneut-2026_H1N1_41,A/Hessen/18/2026_H1N1,flu-seqneut-2026_h1,0.004438,0.5073,21.95
flu-seqneut-2026_H1N1_42,A/France/GES-IPP00659/2026_H1N1,flu-seqneut-2026_h1,0.001571,1.433,62.01
flu-seqneut-2026_H1N1_44,A/Ukraine/5214/2026_H1N1,flu-seqneut-2026_h1,0.001373,1.64,70.95
flu-seqneut-2026_H1N1_45,A/Vietnam/PF126009/2026_H1N1,flu-seqneut-2026_h1,0.0008668,2.597,112.4
flu-seqneut-2026_H1N1_46,A/France/ARA-HCL025195259501/2025_H1N1,flu-seqneut-2026_h1,0.001313,1.715,74.18
flu-seqneut-2026_H1N1_47,A/NordrheinWestfalen/96/2026_H1N1,flu-seqneut-2026_h1,0.002477,0.9091,39.33
flu-seqneut-2026_H1N1_48,A/Arizona/40/2026_H1N1,flu-seqneut-2026_h1,0.0008944,2.517,108.9
flu-seqneut-2026_H1N1_49,A/MinasGerais/671/2026_H1N1,flu-seqneut-2026_h1,0.001729,1.302,56.32
flu-seqneut-2026_H1N1_50,A/SouthAfrica/NICD-R01647/2026_H1N1,flu-seqneut-2026_h1,0.001077,2.091,90.46
flu-seqneut-2026_H1N1_51,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,flu-seqneut-2026_h1,0.0009227,2.44,105.6
flu-seqneut-2026_H1N1_52,A/Mauritius/26000203/2026_H1N1,flu-seqneut-2026_h1,0.0009235,2.438,105.5
flu-seqneut-2026_H1N1_53,A/SouthAfrica/NICD-R01668/2026_H1N1,flu-seqneut-2026_h1,0.0009171,2.455,106.2
flu-seqneut-2026_H1N1_54,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1,flu-seqneut-2026_h1,0.0009569,2.353,101.8
flu-seqneut-2026_H3N2_1,A/Darwin/1454/2025_H3N2,flu-seqneut-2026_h3,0.003635,0.6193,26.8
flu-seqneut-2026_H3N2_2,A/Singapore/GP20238/2024_H3N2,flu-seqneut-2026_h3,0.004361,0.5163,22.34
flu-seqneut-2026_H3N2_3,A/Badajoz/18811358/2026_H3N2,flu-seqneut-2026_h3,0.003468,0.6492,28.09
flu-seqneut-2026_H3N2_4,A/StPetersburg/RII-25-2042S/2025_H3N2,flu-seqneut-2026_h3,0.006985,0.3223,13.95
flu-seqneut-2026_H3N2_5,A/Ireland/91576/2025_H3N2,flu-seqneut-2026_h3,0.006071,0.3708,16.04
flu-seqneut-2026_H3N2_6,A/Thuringen/16/2026_H3N2,flu-seqneut-2026_h3,0.008903,0.2529,10.94
flu-seqneut-2026_H3N2_7,A/StPetersburg/RII-25-2600S/2026_H3N2,flu-seqneut-2026_h3,0.002692,0.8361,36.18
flu-seqneut-2026_H3N2_8,A/Astrakhan/RII-MH273373S/2025_H3N2,flu-seqneut-2026_h3,0.004134,0.5446,23.56
flu-seqneut-2026_H3N2_9,A/Massachusetts/ISC-1856/2025_H3N2,flu-seqneut-2026_h3,0.004365,0.5158,22.32
flu-seqneut-2026_H3N2_10,A/Florida/ISC-1069/2026_H3N2,flu-seqneut-2026_h3,0.002646,0.8509,36.81
flu-seqneut-2026_H3N2_11,A/Denmark/3940/2025_H3N2,flu-seqneut-2026_h3,0.001758,1.28,55.4
flu-seqneut-2026_H3N2_12,A/France/PAC-RELAB-HCL026021993801/2026_H3N2,flu-seqneut-2026_h3,0.007611,0.2958,12.8
flu-seqneut-2026_H3N2_13,A/Luxembourg/LNS9132577/2026_H3N2,flu-seqneut-2026_h3,0.002665,0.8448,36.55
flu-seqneut-2026_H3N2_14,A/California/NIRC-IS-1067/2026_H3N2,flu-seqneut-2026_h3,0.001399,1.609,69.6
flu-seqneut-2026_H3N2_15,A/France/HDF-RELAB-IPP00300/2026_H3N2,flu-seqneut-2026_h3,0.003595,0.6263,27.1
flu-seqneut-2026_H3N2_16,A/NovaScotia/25-365-06099/2025_H3N2,flu-seqneut-2026_h3,0.007487,0.3007,13.01
flu-seqneut-2026_H3N2_17,A/StPetersburg/RII-25-2321S/2025_H3N2,flu-seqneut-2026_h3,0.004672,0.4818,20.85
flu-seqneut-2026_H3N2_18,A/NordrheinWestfalen/54/2026_H3N2,flu-seqneut-2026_h3,0.004079,0.5519,23.88
flu-seqneut-2026_H3N2_19,A/SantaCatarina/508/2026_H3N2,flu-seqneut-2026_h3,0.004987,0.4514,19.53
flu-seqneut-2026_H3N2_20,A/Trieste/380/2026_H3N2,flu-seqneut-2026_h3,0.003881,0.5801,25.1
flu-seqneut-2026_H3N2_21,A/Michigan/UM-10068071276/2025_H3N2,flu-seqneut-2026_h3,0.002568,0.8767,37.93
flu-seqneut-2026_H3N2_22,A/Singapore/NTF0577/2025_H3N2,flu-seqneut-2026_h3,0.002408,0.9349,40.45
flu-seqneut-2026_H3N2_23,A/California/NIRC-IS-1059/2026_H3N2,flu-seqneut-2026_h3,0.006915,0.3256,14.09
flu-seqneut-2026_H3N2_24,A/Germany/LRMC_0104/2025_H3N2,flu-seqneut-2026_h3,0.007836,0.2873,12.43
flu-seqneut-2026_H3N2_25,A/France/HDF-RELAB-IPP00303/2026_H3N2,flu-seqneut-2026_h3,0.006413,0.3511,15.19
flu-seqneut-2026_H3N2_26,A/Germany/LRMC_0113/2025_H3N2,flu-seqneut-2026_h3,0.004549,0.4949,21.41
flu-seqneut-2026_H3N2_27,A/StPetersburg/RII-25-2506S/2026_H3N2,flu-seqneut-2026_h3,0.01508,0.1493,6.461
flu-seqneut-2026_H3N2_28,A/Connecticut/5/2026_H3N2,flu-seqneut-2026_h3,0.002815,0.7997,34.6
flu-seqneut-2026_H3N2_29,A/Singapore/SAR8915/2025_H3N2,flu-seqneut-2026_h3,0.008276,0.272,11.77
flu-seqneut-2026_H3N2_30,A/France/ARA-HCL026031894402/2026_H3N2,flu-seqneut-2026_h3,0.008611,0.2615,11.31
flu-seqneut-2026_H3N2_31,A/Castellon/VAHNSI_02_02400/2025_H3N2,flu-seqneut-2026_h3,0.005309,0.4241,18.35
flu-seqneut-2026_H3N2_32,A/Trieste/257/2025_H3N2,flu-seqneut-2026_h3,0.005483,0.4106,17.76
flu-seqneut-2026_H3N2_33,A/Badajoz/18738342/2026_H3N2,flu-seqneut-2026_h3,0.006586,0.3419,14.79
flu-seqneut-2026_H3N2_34,A/Saskatchewan/SKFLU477727/2025_H3N2,flu-seqneut-2026_h3,0.0009879,2.279,98.6
flu-seqneut-2026_H3N2_35,A/Michigan/UM-10068134090/2025_H3N2,flu-seqneut-2026_h3,0.01346,0.1672,7.235
flu-seqneut-2026_H3N2_36,A/Thuringen/39/2026_H3N2,flu-seqneut-2026_h3,0.002938,0.7664,33.16
flu-seqneut-2026_H3N2_37,A/California/GKISBBBH79910/2026_H3N2,flu-seqneut-2026_h3,0.004204,0.5355,23.17
flu-seqneut-2026_H3N2_38,A/SouthCarolina/USAFSAM-17046/2026_H3N2,flu-seqneut-2026_h3,0.0009131,2.466,106.7
flu-seqneut-2026_H3N2_39,A/NakhonPhanom/P495/2026_H3N2,flu-seqneut-2026_h3,0.00898,0.2507,10.85
flu-seqneut-2026_H3N2_40,A/Romania/612042/2026_H3N2,flu-seqneut-2026_h3,0.007606,0.296,12.81
flu-seqneut-2026_H3N2_41,A/Victoria/2948/2025_H3N2,flu-seqneut-2026_h3,0.006058,0.3717,16.08
flu-seqneut-2026_H3N2_42,A/Michigan/UM-10068747355/2026_H3N2,flu-seqneut-2026_h3,0.003445,0.6536,28.28
flu-seqneut-2026_H3N2_43,A/Netherlands/968/2026_H3N2,flu-seqneut-2026_h3,0.002058,1.094,47.33
flu-seqneut-2026_H3N2_45,A/Missouri/NIRC-AV-1003/2025_H3N2,flu-seqneut-2026_h3,0.00327,0.6884,29.78
flu-seqneut-2026_H3N2_46,A/France/OCC-HCL026013263701/2026_H3N2,flu-seqneut-2026_h3,0.001518,1.483,64.15
flu-seqneut-2026_H3N2_47,A/Ontario/PHL202550193/2025_H3N2,flu-seqneut-2026_h3,0.006877,0.3274,14.16
flu-seqneut-2026_H3N2_48,A/Netherlands/888/2026_H3N2,flu-seqneut-2026_h3,0.008417,0.2675,11.57
flu-seqneut-2026_H3N2_49,A/SouthAustralia/2605715552/2026_H3N2,flu-seqneut-2026_h3,0.005594,0.4025,17.41
flu-seqneut-2026_H3N2_50,A/France/HDF-IPP01550/2026_H3N2,flu-seqneut-2026_h3,0.006949,0.324,14.02
flu-seqneut-2026_H3N2_51,A/Saskatchewan/SKFLU477299/2025_H3N2,flu-seqneut-2026_h3,0.01041,0.2162,9.353
flu-seqneut-2026_H3N2_52,A/Parana/416133590/2026_H3N2,flu-seqneut-2026_h3,0.004006,0.5619,24.31
flu-seqneut-2026_H3N2_53,A/Montana/51/2025_H3N2,flu-seqneut-2026_h3,0.005982,0.3764,16.28
flu-seqneut-2026_H3N2_54,A/France/GES-IPP01077/2026_H3N2,flu-seqneut-2026_h3,0.009059,0.2485,10.75
flu-seqneut-2026_H3N2_55,A/Bolivia/OR5702/2025_H3N2,flu-seqneut-2026_h3,0.002165,1.04,44.98
flu-seqneut-2026_H3N2_56,A/NewYork/NIRC-IS-1086/2026_H3N2,flu-seqneut-2026_h3,0.00237,0.9498,41.09
flu-seqneut-2026_H3N2_57,A/Michigan/8/2026_H3N2,flu-seqneut-2026_h3,0.00288,0.7818,33.83
flu-seqneut-2026_H3N2_58,A/Peru/ANC-INS-062/2026_H3N2,flu-seqneut-2026_h3,0.01256,0.1792,7.754
flu-seqneut-2026_H3N2_59,A/Blaenavon/6687/2026_H3N2,flu-seqneut-2026_h3,0.00311,0.7239,31.32
flu-seqneut-2026_H3N2_60,A/Oregon/81/2025_H3N2,flu-seqneut-2026_h3,0.005902,0.3815,16.5
flu-seqneut-2026_H3N2_61,A/Michigan/UM-10068449788/2025_H3N2,flu-seqneut-2026_h3,0.003581,0.6286,27.2
flu-seqneut-2026_H3N2_62,A/France/NAQ-HCL026010957001/2026_H3N2,flu-seqneut-2026_h3,0.003938,0.5717,24.74
flu-seqneut-2026_H3N2_63,A/Michigan/UM-10068456988/2025_H3N2,flu-seqneut-2026_h3,0.006713,0.3354,14.51
flu-seqneut-2026_H3N2_64,A/Badajoz/18813527/2026_H3N2,flu-seqneut-2026_h3,0.003699,0.6087,26.33
flu-seqneut-2026_H3N2_65,A/BritishColumbia/RV00279-26/2025_H3N2,flu-seqneut-2026_h3,0.003076,0.7318,31.66
flu-seqneut-2026_H3N2_66,A/RiodeJaneiro/331/2026_H3N2,flu-seqneut-2026_h3,0.003034,0.742,32.1
flu-seqneut-2026_H3N2_67,A/Navarra/260009/2025_H3N2,flu-seqneut-2026_h3,0.004723,0.4767,20.62
flu-seqneut-25to26_H1N1_3,A/Andalucia/PMC-00977/2025_H1N1,old_h1_vax,0.002196,1.025,44.34
flu-seqneut-25to26_H1N1_5,A/Norway/9556/2025_H1N1,old_h1_vax,0.001204,1.87,80.9
flu-seqneut-25to26_H1N1_25,A/Missouri/11/2025_cell_H1N1,old_h1_vax,0.0003915,5.751,248.8
flu-seqneut-2025_H1N1_5,A/Singapore/MOH0547/2024_H1N1,old_h1_vax,0.0008819,2.553,110.4
flu-seqneut-2025_H1N1_9,A/Tokyo/EIS11-277/2024_H1N1,old_h1_vax,0.000721,3.123,135.1
flu-seqneut-2025_H1N1_24,A/Zacapa/FLU-012/2025_H1N1,old_h1_vax,0.001702,1.323,57.23
flu-seqneut-2025_H1N1_25,A/Colorado/218/2024_H1N1,old_h1_vax,0.0008739,2.576,111.5
flu-seqneut-2025_H1N1_27,A/Ohio/259/2024_H1N1,old_h1_vax,0.0006044,3.725,161.2
flu-seqneut-2025_H1N1_37,A/Hawaii/ISC-1140/2025_H1N1,old_h1_vax,0.0006035,3.731,161.4
flu_seqneut_pdmH1N1_2023-2024_IVR238,A/Victoria/4897/2022_IVR-238_H1N1,old_h1_vax,0.0003859,5.835,252.4
flu_seqneut_pdmH1N1_2023-2024_VS4,A/Wisconsin/588/2019_H1N1,old_h1_vax,0.0005817,3.87,167.4
flu_seqneut_pdmH1N1_2023-2024_VS5,A/Hawaii/70/2019_H1N1,old_h1_vax,0.000633,3.557,153.9
flu_seqneut_pdmH1N1_2023-2024_VS6,A/Wisconsin/67/2022_H1N1,old_h1_vax,0.0002499,9.009,389.8
flu-seqneut-25to26_H3N2_1,A/Darwin/1415/2025_H3N2,old_h3_vax,0.004523,0.4978,21.54
flu-seqneut-25to26_H3N2_3,A/Bangkok/P2390/2025_H3N2,old_h3_vax,0.003321,0.6778,29.33
flu-seqneut-25to26_H3N2_8,A/Distrito_Federal/250106000728/2025_H3N2,old_h3_vax,0.003605,0.6245,27.02
flu-seqneut-25to26_H3N2_19,A/Galicia/GA-CHUAC-451/2025_H3N2,old_h3_vax,0.01311,0.1718,7.432
flu-seqneut-25to26_H3N2_21,A/Sydney/1359/2024_H3N2,old_h3_vax,0.003267,0.6891,29.81
flu-seqneut-25to26_H3N2_22,A/Malaysia/IMR/SARI/2406/2025_H3N2,old_h3_vax,0.003705,0.6077,26.29
flu-seqneut-25to26_H3N2_25,A/Bangkok/P2391/2025_H3N2,old_h3_vax,0.01312,0.1716,7.423
flu-seqneut-25to26_H3N2_35,A/South_Australia/2527213276/2025_H3N2,old_h3_vax,0.004625,0.4867,21.06
flu-seqneut-25to26_H3N2_46,A/South_Australia/2523812314/2025_H3N2,old_h3_vax,0.001394,1.615,69.89
flu-seqneut-2025_H3N2_9,A/Colombia/1851/2024_H3N2,old_h3_vax,0.001949,1.155,49.99
flu-seqneut-2025_H3N2_59,A/Lisboa/216/2023_H3N2,old_h3_vax,0.004835,0.4656,20.15
flu-seqneut-2025_H3N2_77,A/Croatia/10136RV/2023_H3N2,old_h3_vax,0.0006646,3.387,146.6
flu-seqneut-2025_H3N2_Vax1,A/District_Of_Columbia/27/2023_H3N2,old_h3_vax,0.003846,0.5854,25.33
flu-seqneut-DRIVE-2018to2026_H3N2_29,A/Vietnam/F7324/2024_H3N2,old_h3_vax,0.003035,0.7417,32.09
flu-seqneut-H3-2023to2024_H3N2_32,A/Massachusetts/18/2022_H3N2,old_h3_vax,0.001277,1.764,76.3
flu-seqneut-H3-2023to2024_H3N2_79,A/Thailand/8/2022_H3N2,old_h3_vax,0.000405,5.559,240.5
