shortname,strain,subpool,mean_fraction_strain,representation,over_represented,under_represented,x_expected
flu-seqneut-2026_H1N1_46,A/France/ARA-HCL025195259501/2025_H1N1,flu-seqneut-2026_h1,0.009616,ok,False,False,1.423
flu-seqneut-2026_H1N1_47,A/NordrheinWestfalen/96/2026_H1N1,flu-seqneut-2026_h1,0.008454,ok,False,False,1.251
flu-seqneut-2026_H1N1_48,A/Arizona/40/2026_H1N1,flu-seqneut-2026_h1,0.005751,ok,False,False,0.8511
flu-seqneut-2026_H1N1_49,A/MinasGerais/671/2026_H1N1,flu-seqneut-2026_h1,0.008539,ok,False,False,1.264
flu-seqneut-2026_H1N1_50,A/SouthAfrica/NICD-R01647/2026_H1N1,flu-seqneut-2026_h1,0.008881,ok,False,False,1.314
flu-seqneut-2026_H1N1_51,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,flu-seqneut-2026_h1,0.00569,ok,False,False,0.8422
flu-seqneut-2026_H1N1_52,A/Mauritius/26000203/2026_H1N1,flu-seqneut-2026_h1,0.007738,ok,False,False,1.145
flu-seqneut-2026_H1N1_53,A/SouthAfrica/NICD-R01668/2026_H1N1,flu-seqneut-2026_h1,0.008867,ok,False,False,1.312
flu-seqneut-2026_H1N1_54,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1,flu-seqneut-2026_h1,0.01041,over,True,False,1.541
flu-seqneut-2026_H3N2_1,A/Darwin/1454/2025_H3N2,flu-seqneut-2026_h3,0.004297,under,False,True,0.636
flu-seqneut-2026_H3N2_2,A/Singapore/GP20238/2024_H3N2,flu-seqneut-2026_h3,0.0042,under,False,True,0.6215
flu-seqneut-2026_H3N2_3,A/Badajoz/18811358/2026_H3N2,flu-seqneut-2026_h3,0.005406,ok,False,False,0.8001
flu-seqneut-2026_H3N2_4,A/StPetersburg/RII-25-2042S/2025_H3N2,flu-seqneut-2026_h3,0.007394,ok,False,False,1.094
flu-seqneut-2026_H3N2_5,A/Ireland/91576/2025_H3N2,flu-seqneut-2026_h3,0.005553,ok,False,False,0.8218
flu-seqneut-2026_H3N2_6,A/Thuringen/16/2026_H3N2,flu-seqneut-2026_h3,0.004949,ok,False,False,0.7325
flu-seqneut-2026_H3N2_7,A/StPetersburg/RII-25-2600S/2026_H3N2,flu-seqneut-2026_h3,0.005009,ok,False,False,0.7414
flu-seqneut-2026_H3N2_8,A/Astrakhan/RII-MH273373S/2025_H3N2,flu-seqneut-2026_h3,0.005034,ok,False,False,0.745
flu-seqneut-2026_H3N2_9,A/Massachusetts/ISC-1856/2025_H3N2,flu-seqneut-2026_h3,0.004641,ok,False,False,0.6869
flu-seqneut-2026_H3N2_10,A/Florida/ISC-1069/2026_H3N2,flu-seqneut-2026_h3,0.004775,ok,False,False,0.7067
flu-seqneut-2026_H3N2_11,A/Denmark/3940/2025_H3N2,flu-seqneut-2026_h3,0.007284,ok,False,False,1.078
flu-seqneut-2026_H3N2_12,A/France/PAC-RELAB-HCL026021993801/2026_H3N2,flu-seqneut-2026_h3,0.005565,ok,False,False,0.8236
flu-seqneut-2026_H3N2_13,A/Luxembourg/LNS9132577/2026_H3N2,flu-seqneut-2026_h3,0.006867,ok,False,False,1.016
flu-seqneut-2026_H3N2_14,A/California/NIRC-IS-1067/2026_H3N2,flu-seqneut-2026_h3,0.009405,ok,False,False,1.392
flu-seqneut-2026_H3N2_15,A/France/HDF-RELAB-IPP00300/2026_H3N2,flu-seqneut-2026_h3,0.005622,ok,False,False,0.8321
flu-seqneut-2026_H3N2_16,A/NovaScotia/25-365-06099/2025_H3N2,flu-seqneut-2026_h3,0.006819,ok,False,False,1.009
flu-seqneut-2026_H3N2_17,A/StPetersburg/RII-25-2321S/2025_H3N2,flu-seqneut-2026_h3,0.005175,ok,False,False,0.766
flu-seqneut-2026_H3N2_18,A/NordrheinWestfalen/54/2026_H3N2,flu-seqneut-2026_h3,0.004691,ok,False,False,0.6942
flu-seqneut-2026_H3N2_19,A/SantaCatarina/508/2026_H3N2,flu-seqneut-2026_h3,0.007814,ok,False,False,1.156
flu-seqneut-2026_H3N2_20,A/Trieste/380/2026_H3N2,flu-seqneut-2026_h3,0.004115,under,False,True,0.609
flu-seqneut-2026_H3N2_21,A/Michigan/UM-10068071276/2025_H3N2,flu-seqneut-2026_h3,0.005284,ok,False,False,0.782
flu-seqneut-2026_H3N2_22,A/Singapore/NTF0577/2025_H3N2,flu-seqneut-2026_h3,0.006928,ok,False,False,1.025
flu-seqneut-2026_H3N2_23,A/California/NIRC-IS-1059/2026_H3N2,flu-seqneut-2026_h3,0.006699,ok,False,False,0.9914
flu-seqneut-2026_H3N2_24,A/Germany/LRMC_0104/2025_H3N2,flu-seqneut-2026_h3,0.00552,ok,False,False,0.8169
flu-seqneut-2026_H3N2_25,A/France/HDF-RELAB-IPP00303/2026_H3N2,flu-seqneut-2026_h3,0.008097,ok,False,False,1.198
flu-seqneut-2026_H3N2_26,A/Germany/LRMC_0113/2025_H3N2,flu-seqneut-2026_h3,0.007787,ok,False,False,1.153
flu-seqneut-2026_H3N2_27,A/StPetersburg/RII-25-2506S/2026_H3N2,flu-seqneut-2026_h3,0.02278,over,True,False,3.372
flu-seqneut-2026_H3N2_28,A/Connecticut/5/2026_H3N2,flu-seqneut-2026_h3,0.008263,ok,False,False,1.223
flu-seqneut-2026_H3N2_29,A/Singapore/SAR8915/2025_H3N2,flu-seqneut-2026_h3,0.007043,ok,False,False,1.042
flu-seqneut-2026_H3N2_30,A/France/ARA-HCL026031894402/2026_H3N2,flu-seqneut-2026_h3,0.006491,ok,False,False,0.9606
flu-seqneut-2026_H3N2_31,A/Castellon/VAHNSI_02_02400/2025_H3N2,flu-seqneut-2026_h3,0.007188,ok,False,False,1.064
flu-seqneut-2026_H3N2_32,A/Trieste/257/2025_H3N2,flu-seqneut-2026_h3,0.006722,ok,False,False,0.9949
flu-seqneut-2026_H3N2_33,A/Badajoz/18738342/2026_H3N2,flu-seqneut-2026_h3,0.006532,ok,False,False,0.9668
flu-seqneut-2026_H3N2_34,A/Saskatchewan/SKFLU477727/2025_H3N2,flu-seqneut-2026_h3,0.00637,ok,False,False,0.9427
flu-seqneut-2026_H3N2_35,A/Michigan/UM-10068134090/2025_H3N2,flu-seqneut-2026_h3,0.008219,ok,False,False,1.216
flu-seqneut-2026_H3N2_36,A/Thuringen/39/2026_H3N2,flu-seqneut-2026_h3,0.006635,ok,False,False,0.982
flu-seqneut-2026_H3N2_37,A/California/GKISBBBH79910/2026_H3N2,flu-seqneut-2026_h3,0.006434,ok,False,False,0.9522
flu-seqneut-2026_H3N2_38,A/SouthCarolina/USAFSAM-17046/2026_H3N2,flu-seqneut-2026_h3,0.004992,ok,False,False,0.7389
flu-seqneut-2026_H3N2_39,A/NakhonPhanom/P495/2026_H3N2,flu-seqneut-2026_h3,0.005572,ok,False,False,0.8247
flu-seqneut-2026_H3N2_40,A/Romania/612042/2026_H3N2,flu-seqneut-2026_h3,0.006098,ok,False,False,0.9025
flu-seqneut-2026_H3N2_41,A/Victoria/2948/2025_H3N2,flu-seqneut-2026_h3,0.004346,under,False,True,0.6433
flu-seqneut-2026_H3N2_42,A/Michigan/UM-10068747355/2026_H3N2,flu-seqneut-2026_h3,0.003659,under,False,True,0.5415
flu-seqneut-2026_H3N2_43,A/Netherlands/968/2026_H3N2,flu-seqneut-2026_h3,0.004149,under,False,True,0.614
flu-seqneut-2026_H3N2_45,A/Missouri/NIRC-AV-1003/2025_H3N2,flu-seqneut-2026_h3,0.005419,ok,False,False,0.8021
flu-seqneut-2026_H3N2_46,A/France/OCC-HCL026013263701/2026_H3N2,flu-seqneut-2026_h3,0.004162,under,False,True,0.616
flu-seqneut-2026_H3N2_47,A/Ontario/PHL202550193/2025_H3N2,flu-seqneut-2026_h3,0.005412,ok,False,False,0.8009
flu-seqneut-2026_H3N2_48,A/Netherlands/888/2026_H3N2,flu-seqneut-2026_h3,0.009338,ok,False,False,1.382
flu-seqneut-2026_H3N2_49,A/SouthAustralia/2605715552/2026_H3N2,flu-seqneut-2026_h3,0.006431,ok,False,False,0.9518
flu-seqneut-2026_H3N2_50,A/France/HDF-IPP01550/2026_H3N2,flu-seqneut-2026_h3,0.006172,ok,False,False,0.9134
flu-seqneut-2026_H3N2_51,A/Saskatchewan/SKFLU477299/2025_H3N2,flu-seqneut-2026_h3,0.004362,under,False,True,0.6456
flu-seqneut-2026_H3N2_52,A/Parana/416133590/2026_H3N2,flu-seqneut-2026_h3,0.006803,ok,False,False,1.007
flu-seqneut-2026_H3N2_53,A/Montana/51/2025_H3N2,flu-seqneut-2026_h3,0.007167,ok,False,False,1.061
flu-seqneut-2026_H3N2_54,A/France/GES-IPP01077/2026_H3N2,flu-seqneut-2026_h3,0.005273,ok,False,False,0.7804
flu-seqneut-2026_H3N2_55,A/Bolivia/OR5702/2025_H3N2,flu-seqneut-2026_h3,0.005562,ok,False,False,0.8232
flu-seqneut-2026_H3N2_56,A/NewYork/NIRC-IS-1086/2026_H3N2,flu-seqneut-2026_h3,0.005182,ok,False,False,0.7669
flu-seqneut-2026_H3N2_57,A/Michigan/8/2026_H3N2,flu-seqneut-2026_h3,0.005196,ok,False,False,0.769
flu-seqneut-2026_H3N2_58,A/Peru/ANC-INS-062/2026_H3N2,flu-seqneut-2026_h3,0.009932,ok,False,False,1.47
flu-seqneut-2026_H3N2_59,A/Blaenavon/6687/2026_H3N2,flu-seqneut-2026_h3,0.004984,ok,False,False,0.7377
flu-seqneut-2026_H3N2_60,A/Oregon/81/2025_H3N2,flu-seqneut-2026_h3,0.006302,ok,False,False,0.9327
flu-seqneut-2026_H3N2_61,A/Michigan/UM-10068449788/2025_H3N2,flu-seqneut-2026_h3,0.005,ok,False,False,0.74
flu-seqneut-2026_H3N2_62,A/France/NAQ-HCL026010957001/2026_H3N2,flu-seqneut-2026_h3,0.006754,ok,False,False,0.9996
flu-seqneut-2026_H3N2_63,A/Michigan/UM-10068456988/2025_H3N2,flu-seqneut-2026_h3,0.004596,ok,False,False,0.6802
flu-seqneut-2026_H3N2_64,A/Badajoz/18813527/2026_H3N2,flu-seqneut-2026_h3,0.004212,under,False,True,0.6234
flu-seqneut-2026_H3N2_65,A/BritishColumbia/RV00279-26/2025_H3N2,flu-seqneut-2026_h3,0.005996,ok,False,False,0.8874
flu-seqneut-2026_H3N2_66,A/RiodeJaneiro/331/2026_H3N2,flu-seqneut-2026_h3,0.005686,ok,False,False,0.8416
flu-seqneut-2026_H3N2_67,A/Navarra/260009/2025_H3N2,flu-seqneut-2026_h3,0.004178,under,False,True,0.6184
flu-seqneut-25to26_H1N1_3,A/Andalucia/PMC-00977/2025_H1N1,old_h1_vax,0.003723,under,False,True,0.5511
flu-seqneut-25to26_H1N1_5,A/Norway/9556/2025_H1N1,old_h1_vax,0.002444,under,False,True,0.3616
flu-seqneut-25to26_H1N1_25,A/Missouri/11/2025_cell_H1N1,old_h1_vax,0.005442,ok,False,False,0.8054
flu-seqneut-2025_H1N1_5,A/Singapore/MOH0547/2024_H1N1,old_h1_vax,0.00308,under,False,True,0.4558
flu-seqneut-2025_H1N1_9,A/Tokyo/EIS11-277/2024_H1N1,old_h1_vax,0.004065,under,False,True,0.6016
flu-seqneut-2025_H1N1_24,A/Zacapa/FLU-012/2025_H1N1,old_h1_vax,0.003695,under,False,True,0.5469
flu-seqneut-2025_H1N1_25,A/Colorado/218/2024_H1N1,old_h1_vax,0.003038,under,False,True,0.4496
flu-seqneut-2025_H1N1_27,A/Ohio/259/2024_H1N1,old_h1_vax,0.003081,under,False,True,0.4559
flu-seqneut-2025_H1N1_37,A/Hawaii/ISC-1140/2025_H1N1,old_h1_vax,0.001991,under,False,True,0.2947
flu_seqneut_pdmH1N1_2023-2024_IVR238,A/Victoria/4897/2022_IVR-238_H1N1,old_h1_vax,0.003415,under,False,True,0.5055
flu_seqneut_pdmH1N1_2023-2024_VS4,A/Wisconsin/588/2019_H1N1,old_h1_vax,0.004646,ok,False,False,0.6875
flu_seqneut_pdmH1N1_2023-2024_VS5,A/Hawaii/70/2019_H1N1,old_h1_vax,0.005101,ok,False,False,0.7549
flu_seqneut_pdmH1N1_2023-2024_VS6,A/Wisconsin/67/2022_H1N1,old_h1_vax,0.0042,under,False,True,0.6216
flu-seqneut-25to26_H3N2_1,A/Darwin/1415/2025_H3N2,old_h3_vax,0.009028,ok,False,False,1.336
flu-seqneut-25to26_H3N2_3,A/Bangkok/P2390/2025_H3N2,old_h3_vax,0.01028,over,True,False,1.522
flu-seqneut-25to26_H3N2_8,A/Distrito_Federal/250106000728/2025_H3N2,old_h3_vax,0.006274,ok,False,False,0.9285
flu-seqneut-25to26_H3N2_19,A/Galicia/GA-CHUAC-451/2025_H3N2,old_h3_vax,0.001185,under,False,True,0.1754
flu-seqneut-25to26_H3N2_21,A/Sydney/1359/2024_H3N2,old_h3_vax,0.006559,ok,False,False,0.9708
flu-seqneut-25to26_H3N2_22,A/Malaysia/IMR/SARI/2406/2025_H3N2,old_h3_vax,0.007187,ok,False,False,1.064
flu-seqneut-25to26_H3N2_25,A/Bangkok/P2391/2025_H3N2,old_h3_vax,0.0005917,under,False,True,0.08758
flu-seqneut-25to26_H3N2_35,A/South_Australia/2527213276/2025_H3N2,old_h3_vax,0.007131,ok,False,False,1.055
flu-seqneut-25to26_H3N2_46,A/South_Australia/2523812314/2025_H3N2,old_h3_vax,0.009161,ok,False,False,1.356
flu-seqneut-2025_H3N2_9,A/Colombia/1851/2024_H3N2,old_h3_vax,0.003109,under,False,True,0.4601
flu-seqneut-2025_H3N2_59,A/Lisboa/216/2023_H3N2,old_h3_vax,0.00178,under,False,True,0.2635
flu-seqneut-2025_H3N2_77,A/Croatia/10136RV/2023_H3N2,old_h3_vax,0.003341,under,False,True,0.4945
flu-seqneut-2025_H3N2_Vax1,A/District_Of_Columbia/27/2023_H3N2,old_h3_vax,0.0104,over,True,False,1.539
flu-seqneut-DRIVE-2018to2026_H3N2_29,A/Vietnam/F7324/2024_H3N2,old_h3_vax,0.002578,under,False,True,0.3816
flu-seqneut-H3-2023to2024_H3N2_32,A/Massachusetts/18/2022_H3N2,old_h3_vax,0.008344,ok,False,False,1.235
flu-seqneut-H3-2023to2024_H3N2_79,A/Thailand/8/2022_H3N2,old_h3_vax,0.007411,ok,False,False,1.097
