shortname,strain,subpool,mean_fraction_strain,representation,over_represented,under_represented,x_expected
flu-seqneut-2026_H3N2_64,A/Badajoz/18813527/2026_H3N2,flu-seqneut-2026_h3,0.002951,under,False,True,0.4368
flu-seqneut-2026_H3N2_65,A/BritishColumbia/RV00279-26/2025_H3N2,flu-seqneut-2026_h3,0.00413,under,False,True,0.6112
flu-seqneut-2026_H3N2_66,A/RiodeJaneiro/331/2026_H3N2,flu-seqneut-2026_h3,0.004798,ok,False,False,0.7102
flu-seqneut-2026_H3N2_67,A/Navarra/260009/2025_H3N2,flu-seqneut-2026_h3,0.002734,under,False,True,0.4046
flu-seqneut-25to26_H1N1_3,A/Andalucia/PMC-00977/2025_H1N1,old_h1_vax,0.002957,under,False,True,0.4376
flu-seqneut-25to26_H1N1_5,A/Norway/9556/2025_H1N1,old_h1_vax,0.002523,under,False,True,0.3734
flu-seqneut-25to26_H1N1_25,A/Missouri/11/2025_cell_H1N1,old_h1_vax,0.005132,ok,False,False,0.7596
flu-seqneut-2025_H1N1_5,A/Singapore/MOH0547/2024_H1N1,old_h1_vax,0.002129,under,False,True,0.3151
flu-seqneut-2025_H1N1_9,A/Tokyo/EIS11-277/2024_H1N1,old_h1_vax,0.003824,under,False,True,0.5659
flu-seqneut-2025_H1N1_24,A/Zacapa/FLU-012/2025_H1N1,old_h1_vax,0.003314,under,False,True,0.4905
flu-seqneut-2025_H1N1_25,A/Colorado/218/2024_H1N1,old_h1_vax,0.002262,under,False,True,0.3347
flu-seqneut-2025_H1N1_27,A/Ohio/259/2024_H1N1,old_h1_vax,0.001989,under,False,True,0.2944
flu-seqneut-2025_H1N1_37,A/Hawaii/ISC-1140/2025_H1N1,old_h1_vax,0.001499,under,False,True,0.2219
flu_seqneut_pdmH1N1_2023-2024_IVR238,A/Victoria/4897/2022_IVR-238_H1N1,old_h1_vax,0.002852,under,False,True,0.4221
flu_seqneut_pdmH1N1_2023-2024_VS4,A/Wisconsin/588/2019_H1N1,old_h1_vax,0.004527,ok,False,False,0.6699
flu_seqneut_pdmH1N1_2023-2024_VS5,A/Hawaii/70/2019_H1N1,old_h1_vax,0.004519,ok,False,False,0.6689
flu_seqneut_pdmH1N1_2023-2024_VS6,A/Wisconsin/67/2022_H1N1,old_h1_vax,0.003971,under,False,True,0.5876
flu-seqneut-25to26_H3N2_1,A/Darwin/1415/2025_H3N2,old_h3_vax,0.005638,ok,False,False,0.8344
flu-seqneut-25to26_H3N2_3,A/Bangkok/P2390/2025_H3N2,old_h3_vax,0.007226,ok,False,False,1.069
flu-seqneut-25to26_H3N2_8,A/Distrito_Federal/250106000728/2025_H3N2,old_h3_vax,0.005077,ok,False,False,0.7514
flu-seqneut-25to26_H3N2_19,A/Galicia/GA-CHUAC-451/2025_H3N2,old_h3_vax,0.000592,under,False,True,0.08762
flu-seqneut-25to26_H3N2_21,A/Sydney/1359/2024_H3N2,old_h3_vax,0.005163,ok,False,False,0.7641
flu-seqneut-25to26_H3N2_22,A/Malaysia/IMR/SARI/2406/2025_H3N2,old_h3_vax,0.00585,ok,False,False,0.8658
flu-seqneut-25to26_H3N2_25,A/Bangkok/P2391/2025_H3N2,old_h3_vax,3.748e-05,under,False,True,0.005547
flu-seqneut-25to26_H3N2_35,A/South_Australia/2527213276/2025_H3N2,old_h3_vax,0.005437,ok,False,False,0.8046
flu-seqneut-25to26_H3N2_46,A/South_Australia/2523812314/2025_H3N2,old_h3_vax,0.006549,ok,False,False,0.9692
flu-seqneut-2025_H3N2_9,A/Colombia/1851/2024_H3N2,old_h3_vax,0.002656,under,False,True,0.393
flu-seqneut-2025_H3N2_59,A/Lisboa/216/2023_H3N2,old_h3_vax,0.000834,under,False,True,0.1234
flu-seqneut-2025_H3N2_77,A/Croatia/10136RV/2023_H3N2,old_h3_vax,0.004304,under,False,True,0.637
flu-seqneut-2025_H3N2_Vax1,A/District_Of_Columbia/27/2023_H3N2,old_h3_vax,0.009721,ok,False,False,1.439
flu-seqneut-DRIVE-2018to2026_H3N2_29,A/Vietnam/F7324/2024_H3N2,old_h3_vax,0.003061,under,False,True,0.453
flu-seqneut-H3-2023to2024_H3N2_32,A/Massachusetts/18/2022_H3N2,old_h3_vax,0.005642,ok,False,False,0.835
flu-seqneut-H3-2023to2024_H3N2_79,A/Thailand/8/2022_H3N2,old_h3_vax,0.004765,ok,False,False,0.7053
