subtype,region,week_start,category,n_sequences
H1N1,HA1,2024-11-18,more_than_4_mutations,3
H1N1,HA1,2024-11-25,1_mutation,232
H1N1,HA1,2024-11-25,2_mutations,145
H1N1,HA1,2024-11-25,3_mutations,54
H1N1,HA1,2024-11-25,4_mutations,22
H1N1,HA1,2024-11-25,identical,215
H1N1,HA1,2024-11-25,more_than_4_mutations,1
H1N1,HA1,2024-12-02,1_mutation,297
H1N1,HA1,2024-12-02,2_mutations,168
H1N1,HA1,2024-12-02,3_mutations,55
H1N1,HA1,2024-12-02,4_mutations,43
H1N1,HA1,2024-12-02,identical,242
H1N1,HA1,2024-12-02,more_than_4_mutations,7
H1N1,HA1,2024-12-09,1_mutation,407
H1N1,HA1,2024-12-09,2_mutations,203
H1N1,HA1,2024-12-09,3_mutations,81
H1N1,HA1,2024-12-09,4_mutations,41
H1N1,HA1,2024-12-09,identical,338
H1N1,HA1,2024-12-09,more_than_4_mutations,1
H1N1,HA1,2024-12-16,1_mutation,452
H1N1,HA1,2024-12-16,2_mutations,255
H1N1,HA1,2024-12-16,3_mutations,83
H1N1,HA1,2024-12-16,4_mutations,44
H1N1,HA1,2024-12-16,identical,366
H1N1,HA1,2024-12-16,more_than_4_mutations,8
H1N1,HA1,2024-12-23,1_mutation,385
H1N1,HA1,2024-12-23,2_mutations,244
H1N1,HA1,2024-12-23,3_mutations,65
H1N1,HA1,2024-12-23,4_mutations,40
H1N1,HA1,2024-12-23,identical,366
H1N1,HA1,2024-12-23,more_than_4_mutations,6
H1N1,HA1,2024-12-30,1_mutation,514
H1N1,HA1,2024-12-30,2_mutations,322
H1N1,HA1,2024-12-30,3_mutations,110
H1N1,HA1,2024-12-30,4_mutations,34
H1N1,HA1,2024-12-30,identical,486
H1N1,HA1,2024-12-30,more_than_4_mutations,9
H1N1,HA1,2025-01-06,1_mutation,556
H1N1,HA1,2025-01-06,2_mutations,358
H1N1,HA1,2025-01-06,3_mutations,147
H1N1,HA1,2025-01-06,4_mutations,50
H1N1,HA1,2025-01-06,identical,581
H1N1,HA1,2025-01-06,more_than_4_mutations,13
H1N1,HA1,2025-01-13,1_mutation,607
H1N1,HA1,2025-01-13,2_mutations,443
H1N1,HA1,2025-01-13,3_mutations,139
H1N1,HA1,2025-01-13,4_mutations,53
H1N1,HA1,2025-01-13,identical,753
H1N1,HA1,2025-01-13,more_than_4_mutations,16
H1N1,HA1,2025-01-20,1_mutation,586
H1N1,HA1,2025-01-20,2_mutations,404
H1N1,HA1,2025-01-20,3_mutations,144
H1N1,HA1,2025-01-20,4_mutations,37
H1N1,HA1,2025-01-20,identical,811
H1N1,HA1,2025-01-20,more_than_4_mutations,10
H1N1,HA1,2025-01-27,1_mutation,512
H1N1,HA1,2025-01-27,2_mutations,360
H1N1,HA1,2025-01-27,3_mutations,140
H1N1,HA1,2025-01-27,4_mutations,49
H1N1,HA1,2025-01-27,identical,888
H1N1,HA1,2025-01-27,more_than_4_mutations,7
H1N1,HA1,2025-02-03,1_mutation,449
H1N1,HA1,2025-02-03,2_mutations,333
H1N1,HA1,2025-02-03,3_mutations,100
H1N1,HA1,2025-02-03,4_mutations,34
H1N1,HA1,2025-02-03,identical,821
H1N1,HA1,2025-02-03,more_than_4_mutations,7
H1N1,HA1,2025-02-10,1_mutation,409
H1N1,HA1,2025-02-10,2_mutations,308
H1N1,HA1,2025-02-10,3_mutations,92
H1N1,HA1,2025-02-10,4_mutations,49
H1N1,HA1,2025-02-10,identical,782
H1N1,HA1,2025-02-10,more_than_4_mutations,8
H1N1,HA1,2025-02-17,1_mutation,356
H1N1,HA1,2025-02-17,2_mutations,220
H1N1,HA1,2025-02-17,3_mutations,79
H1N1,HA1,2025-02-17,4_mutations,28
H1N1,HA1,2025-02-17,identical,708
H1N1,HA1,2025-02-17,more_than_4_mutations,8
H1N1,HA1,2025-02-24,1_mutation,334
H1N1,HA1,2025-02-24,2_mutations,169
H1N1,HA1,2025-02-24,3_mutations,62
H1N1,HA1,2025-02-24,4_mutations,20
H1N1,HA1,2025-02-24,identical,654
H1N1,HA1,2025-02-24,more_than_4_mutations,11
H1N1,HA1,2025-03-03,1_mutation,266
H1N1,HA1,2025-03-03,2_mutations,154
H1N1,HA1,2025-03-03,3_mutations,52
H1N1,HA1,2025-03-03,4_mutations,14
H1N1,HA1,2025-03-03,identical,541
H1N1,HA1,2025-03-03,more_than_4_mutations,4
H1N1,HA1,2025-03-10,1_mutation,228
H1N1,HA1,2025-03-10,2_mutations,128
H1N1,HA1,2025-03-10,3_mutations,48
H1N1,HA1,2025-03-10,4_mutations,12
H1N1,HA1,2025-03-10,identical,509
H1N1,HA1,2025-03-10,more_than_4_mutations,3
H1N1,HA1,2025-03-17,1_mutation,233
H1N1,HA1,2025-03-17,2_mutations,68
H1N1,HA1,2025-03-17,3_mutations,59
H1N1,HA1,2025-03-17,4_mutations,11
H1N1,HA1,2025-03-17,identical,532
H1N1,HA1,2025-03-17,more_than_4_mutations,3
H1N1,HA1,2025-03-24,1_mutation,217
H1N1,HA1,2025-03-24,2_mutations,86
H1N1,HA1,2025-03-24,3_mutations,31
H1N1,HA1,2025-03-24,4_mutations,25
H1N1,HA1,2025-03-24,identical,440
H1N1,HA1,2025-03-24,more_than_4_mutations,7
H1N1,HA1,2025-03-31,1_mutation,212
H1N1,HA1,2025-03-31,2_mutations,84
H1N1,HA1,2025-03-31,3_mutations,45
H1N1,HA1,2025-03-31,4_mutations,17
H1N1,HA1,2025-03-31,identical,470
H1N1,HA1,2025-03-31,more_than_4_mutations,1
H1N1,HA1,2025-04-07,1_mutation,221
H1N1,HA1,2025-04-07,2_mutations,87
H1N1,HA1,2025-04-07,3_mutations,30
H1N1,HA1,2025-04-07,4_mutations,19
H1N1,HA1,2025-04-07,identical,423
H1N1,HA1,2025-04-07,more_than_4_mutations,1
H1N1,HA1,2025-04-14,1_mutation,183
H1N1,HA1,2025-04-14,2_mutations,57
H1N1,HA1,2025-04-14,3_mutations,16
H1N1,HA1,2025-04-14,4_mutations,3
H1N1,HA1,2025-04-14,identical,347
H1N1,HA1,2025-04-14,more_than_4_mutations,3
H1N1,HA1,2025-04-21,1_mutation,172
H1N1,HA1,2025-04-21,2_mutations,84
H1N1,HA1,2025-04-21,3_mutations,15
H1N1,HA1,2025-04-21,4_mutations,8
H1N1,HA1,2025-04-21,identical,319
H1N1,HA1,2025-04-21,more_than_4_mutations,5
H1N1,HA1,2025-04-28,1_mutation,176
H1N1,HA1,2025-04-28,2_mutations,53
H1N1,HA1,2025-04-28,3_mutations,25
H1N1,HA1,2025-04-28,4_mutations,10
H1N1,HA1,2025-04-28,identical,338
H1N1,HA1,2025-04-28,more_than_4_mutations,1
H1N1,HA1,2025-05-05,1_mutation,164
H1N1,HA1,2025-05-05,2_mutations,71
H1N1,HA1,2025-05-05,3_mutations,22
H1N1,HA1,2025-05-05,4_mutations,1
H1N1,HA1,2025-05-05,identical,300
H1N1,HA1,2025-05-05,more_than_4_mutations,4
H1N1,HA1,2025-05-12,1_mutation,184
H1N1,HA1,2025-05-12,2_mutations,65
H1N1,HA1,2025-05-12,3_mutations,26
H1N1,HA1,2025-05-12,4_mutations,12
H1N1,HA1,2025-05-12,identical,332
H1N1,HA1,2025-05-12,more_than_4_mutations,2
H1N1,HA1,2025-05-19,1_mutation,185
H1N1,HA1,2025-05-19,2_mutations,73
H1N1,HA1,2025-05-19,3_mutations,16
H1N1,HA1,2025-05-19,4_mutations,1
H1N1,HA1,2025-05-19,identical,318
H1N1,HA1,2025-05-19,more_than_4_mutations,2
H1N1,HA1,2025-05-26,1_mutation,178
H1N1,HA1,2025-05-26,2_mutations,68
H1N1,HA1,2025-05-26,3_mutations,15
H1N1,HA1,2025-05-26,4_mutations,3
H1N1,HA1,2025-05-26,identical,333
H1N1,HA1,2025-06-02,1_mutation,155
H1N1,HA1,2025-06-02,2_mutations,54
H1N1,HA1,2025-06-02,3_mutations,16
H1N1,HA1,2025-06-02,4_mutations,3
H1N1,HA1,2025-06-02,identical,335
H1N1,HA1,2025-06-02,more_than_4_mutations,2
H1N1,HA1,2025-06-09,1_mutation,139
H1N1,HA1,2025-06-09,2_mutations,33
H1N1,HA1,2025-06-09,3_mutations,28
H1N1,HA1,2025-06-09,4_mutations,1
H1N1,HA1,2025-06-09,identical,299
H1N1,HA1,2025-06-16,1_mutation,125
H1N1,HA1,2025-06-16,2_mutations,47
H1N1,HA1,2025-06-16,3_mutations,14
H1N1,HA1,2025-06-16,4_mutations,3
H1N1,HA1,2025-06-16,identical,265
H1N1,HA1,2025-06-23,1_mutation,140
H1N1,HA1,2025-06-23,2_mutations,33
H1N1,HA1,2025-06-23,3_mutations,19
H1N1,HA1,2025-06-23,identical,246
H1N1,HA1,2025-06-23,more_than_4_mutations,1
H1N1,HA1,2025-06-30,1_mutation,111
H1N1,HA1,2025-06-30,2_mutations,33
H1N1,HA1,2025-06-30,3_mutations,13
H1N1,HA1,2025-06-30,4_mutations,1
H1N1,HA1,2025-06-30,identical,224
H1N1,HA1,2025-06-30,more_than_4_mutations,1
H1N1,HA1,2025-07-07,1_mutation,144
H1N1,HA1,2025-07-07,2_mutations,33
H1N1,HA1,2025-07-07,3_mutations,12
H1N1,HA1,2025-07-07,4_mutations,1
H1N1,HA1,2025-07-07,identical,259
H1N1,HA1,2025-07-14,1_mutation,99
H1N1,HA1,2025-07-14,2_mutations,26
H1N1,HA1,2025-07-14,3_mutations,7
H1N1,HA1,2025-07-14,4_mutations,3
H1N1,HA1,2025-07-14,identical,236
H1N1,HA1,2025-07-14,more_than_4_mutations,3
H1N1,HA1,2025-07-21,1_mutation,102
H1N1,HA1,2025-07-21,2_mutations,36
H1N1,HA1,2025-07-21,3_mutations,9
H1N1,HA1,2025-07-21,4_mutations,3
H1N1,HA1,2025-07-21,identical,239
H1N1,HA1,2025-07-21,more_than_4_mutations,3
H1N1,HA1,2025-07-28,1_mutation,76
H1N1,HA1,2025-07-28,2_mutations,19
H1N1,HA1,2025-07-28,3_mutations,13
H1N1,HA1,2025-07-28,4_mutations,1
H1N1,HA1,2025-07-28,identical,193
H1N1,HA1,2025-08-04,1_mutation,111
H1N1,HA1,2025-08-04,2_mutations,25
H1N1,HA1,2025-08-04,3_mutations,10
H1N1,HA1,2025-08-04,4_mutations,2
H1N1,HA1,2025-08-04,identical,170
H1N1,HA1,2025-08-11,1_mutation,99
H1N1,HA1,2025-08-11,2_mutations,72
H1N1,HA1,2025-08-11,3_mutations,15
H1N1,HA1,2025-08-11,4_mutations,3
H1N1,HA1,2025-08-11,identical,182
H1N1,HA1,2025-08-11,more_than_4_mutations,1
H1N1,HA1,2025-08-18,1_mutation,96
H1N1,HA1,2025-08-18,2_mutations,59
H1N1,HA1,2025-08-18,3_mutations,12
H1N1,HA1,2025-08-18,4_mutations,2
H1N1,HA1,2025-08-18,identical,173
H1N1,HA1,2025-08-18,more_than_4_mutations,1
H1N1,HA1,2025-08-25,1_mutation,73
H1N1,HA1,2025-08-25,2_mutations,35
H1N1,HA1,2025-08-25,3_mutations,12
H1N1,HA1,2025-08-25,4_mutations,1
H1N1,HA1,2025-08-25,identical,211
H1N1,HA1,2025-08-25,more_than_4_mutations,1
H1N1,HA1,2025-09-01,1_mutation,84
H1N1,HA1,2025-09-01,2_mutations,35
H1N1,HA1,2025-09-01,3_mutations,8
H1N1,HA1,2025-09-01,4_mutations,1
H1N1,HA1,2025-09-01,identical,208
H1N1,HA1,2025-09-01,more_than_4_mutations,1
H1N1,HA1,2025-09-08,1_mutation,85
H1N1,HA1,2025-09-08,2_mutations,23
H1N1,HA1,2025-09-08,3_mutations,5
H1N1,HA1,2025-09-08,4_mutations,6
H1N1,HA1,2025-09-08,identical,208
H1N1,HA1,2025-09-08,more_than_4_mutations,1
H1N1,HA1,2025-09-15,1_mutation,79
H1N1,HA1,2025-09-15,2_mutations,21
H1N1,HA1,2025-09-15,3_mutations,7
H1N1,HA1,2025-09-15,identical,175
H1N1,HA1,2025-09-22,1_mutation,66
H1N1,HA1,2025-09-22,2_mutations,29
H1N1,HA1,2025-09-22,3_mutations,6
H1N1,HA1,2025-09-22,4_mutations,2
H1N1,HA1,2025-09-22,identical,168
H1N1,HA1,2025-09-22,more_than_4_mutations,1
H1N1,HA1,2025-09-29,1_mutation,80
H1N1,HA1,2025-09-29,2_mutations,34
H1N1,HA1,2025-09-29,3_mutations,9
H1N1,HA1,2025-09-29,4_mutations,4
H1N1,HA1,2025-09-29,identical,172
H1N1,HA1,2025-10-06,1_mutation,86
H1N1,HA1,2025-10-06,2_mutations,17
H1N1,HA1,2025-10-06,3_mutations,6
H1N1,HA1,2025-10-06,4_mutations,2
H1N1,HA1,2025-10-06,identical,250
H1N1,HA1,2025-10-13,1_mutation,62
H1N1,HA1,2025-10-13,2_mutations,22
H1N1,HA1,2025-10-13,3_mutations,2
H1N1,HA1,2025-10-13,4_mutations,2
H1N1,HA1,2025-10-13,identical,277
H1N1,HA1,2025-10-20,1_mutation,77
H1N1,HA1,2025-10-20,2_mutations,19
H1N1,HA1,2025-10-20,3_mutations,11
H1N1,HA1,2025-10-20,4_mutations,3
H1N1,HA1,2025-10-20,identical,272
H1N1,HA1,2025-10-27,1_mutation,70
H1N1,HA1,2025-10-27,2_mutations,15
H1N1,HA1,2025-10-27,3_mutations,4
H1N1,HA1,2025-10-27,4_mutations,1
H1N1,HA1,2025-10-27,identical,287
H1N1,HA1,2025-10-27,more_than_4_mutations,1
H1N1,HA1,2025-11-03,1_mutation,95
H1N1,HA1,2025-11-03,2_mutations,12
H1N1,HA1,2025-11-03,3_mutations,5
H1N1,HA1,2025-11-03,identical,270
H1N1,HA1,2025-11-10,1_mutation,103
H1N1,HA1,2025-11-10,2_mutations,13
H1N1,HA1,2025-11-10,3_mutations,6
H1N1,HA1,2025-11-10,identical,327
H1N1,HA1,2025-11-17,1_mutation,99
H1N1,HA1,2025-11-17,2_mutations,15
H1N1,HA1,2025-11-17,3_mutations,7
H1N1,HA1,2025-11-17,identical,330
H1N1,HA1,2025-11-24,1_mutation,148
H1N1,HA1,2025-11-24,2_mutations,15
H1N1,HA1,2025-11-24,3_mutations,3
H1N1,HA1,2025-11-24,4_mutations,1
H1N1,HA1,2025-11-24,identical,451
H1N1,HA1,2025-12-01,1_mutation,159
H1N1,HA1,2025-12-01,2_mutations,28
H1N1,HA1,2025-12-01,identical,485
H1N1,HA1,2025-12-08,1_mutation,136
H1N1,HA1,2025-12-08,2_mutations,19
H1N1,HA1,2025-12-08,3_mutations,6
H1N1,HA1,2025-12-08,identical,578
H1N1,HA1,2025-12-15,1_mutation,157
H1N1,HA1,2025-12-15,2_mutations,23
H1N1,HA1,2025-12-15,3_mutations,3
H1N1,HA1,2025-12-15,4_mutations,1
H1N1,HA1,2025-12-15,identical,523
H1N1,HA1,2025-12-22,1_mutation,123
H1N1,HA1,2025-12-22,2_mutations,28
H1N1,HA1,2025-12-22,3_mutations,5
H1N1,HA1,2025-12-22,4_mutations,4
H1N1,HA1,2025-12-22,identical,468
H1N1,HA1,2025-12-29,1_mutation,136
H1N1,HA1,2025-12-29,2_mutations,22
H1N1,HA1,2025-12-29,3_mutations,2
H1N1,HA1,2025-12-29,4_mutations,1
H1N1,HA1,2025-12-29,identical,411
H1N1,HA1,2026-01-05,1_mutation,131
H1N1,HA1,2026-01-05,2_mutations,16
H1N1,HA1,2026-01-05,3_mutations,2
H1N1,HA1,2026-01-05,4_mutations,2
H1N1,HA1,2026-01-05,identical,425
H1N1,HA1,2026-01-12,1_mutation,165
H1N1,HA1,2026-01-12,2_mutations,23
H1N1,HA1,2026-01-12,3_mutations,4
H1N1,HA1,2026-01-12,4_mutations,2
H1N1,HA1,2026-01-12,identical,399
H1N1,HA1,2026-01-19,1_mutation,120
H1N1,HA1,2026-01-19,2_mutations,22
H1N1,HA1,2026-01-19,3_mutations,1
H1N1,HA1,2026-01-19,4_mutations,1
H1N1,HA1,2026-01-19,identical,323
H1N1,HA1,2026-01-26,1_mutation,95
H1N1,HA1,2026-01-26,2_mutations,24
H1N1,HA1,2026-01-26,3_mutations,4
H1N1,HA1,2026-01-26,identical,335
H1N1,HA1,2026-02-02,1_mutation,110
H1N1,HA1,2026-02-02,2_mutations,20
H1N1,HA1,2026-02-02,3_mutations,4
H1N1,HA1,2026-02-02,identical,287
H1N1,HA1,2026-02-09,1_mutation,97
H1N1,HA1,2026-02-09,2_mutations,16
H1N1,HA1,2026-02-09,3_mutations,1
H1N1,HA1,2026-02-09,identical,247
H1N1,HA1,2026-02-16,1_mutation,81
H1N1,HA1,2026-02-16,2_mutations,18
H1N1,HA1,2026-02-16,3_mutations,2
H1N1,HA1,2026-02-16,identical,244
H1N1,HA1,2026-02-23,1_mutation,85
H1N1,HA1,2026-02-23,2_mutations,17
H1N1,HA1,2026-02-23,3_mutations,1
H1N1,HA1,2026-02-23,identical,218
H1N1,HA1,2026-03-02,1_mutation,75
H1N1,HA1,2026-03-02,2_mutations,10
H1N1,HA1,2026-03-02,3_mutations,2
H1N1,HA1,2026-03-02,identical,206
H1N1,HA1,2026-03-09,1_mutation,65
H1N1,HA1,2026-03-09,2_mutations,8
H1N1,HA1,2026-03-09,3_mutations,4
H1N1,HA1,2026-03-09,identical,169
H1N1,HA1,2026-03-16,1_mutation,45
H1N1,HA1,2026-03-16,2_mutations,6
H1N1,HA1,2026-03-16,3_mutations,2
H1N1,HA1,2026-03-16,identical,119
H1N1,HA1,2026-03-23,1_mutation,61
H1N1,HA1,2026-03-23,2_mutations,12
H1N1,HA1,2026-03-23,4_mutations,2
H1N1,HA1,2026-03-23,identical,117
H1N1,HA1,2026-03-30,1_mutation,42
H1N1,HA1,2026-03-30,2_mutations,6
H1N1,HA1,2026-03-30,3_mutations,1
H1N1,HA1,2026-03-30,4_mutations,1
H1N1,HA1,2026-03-30,identical,98
H1N1,HA1,2026-04-06,1_mutation,27
H1N1,HA1,2026-04-06,2_mutations,5
H1N1,HA1,2026-04-06,3_mutations,1
H1N1,HA1,2026-04-06,identical,82
H1N1,HA1,2026-04-13,1_mutation,23
H1N1,HA1,2026-04-13,2_mutations,11
H1N1,HA1,2026-04-13,identical,66
H1N1,HA1,2026-04-20,1_mutation,26
H1N1,HA1,2026-04-20,2_mutations,17
H1N1,HA1,2026-04-20,3_mutations,1
H1N1,HA1,2026-04-20,identical,83
H1N1,HA1,2026-04-27,1_mutation,28
H1N1,HA1,2026-04-27,2_mutations,9
H1N1,HA1,2026-04-27,3_mutations,2
H1N1,HA1,2026-04-27,identical,95
H1N1,HA1,2026-05-04,1_mutation,21
H1N1,HA1,2026-05-04,2_mutations,6
H1N1,HA1,2026-05-04,3_mutations,1
H1N1,HA1,2026-05-04,identical,74
H1N1,HA1,2026-05-11,1_mutation,24
H1N1,HA1,2026-05-11,2_mutations,9
H1N1,HA1,2026-05-11,3_mutations,2
H1N1,HA1,2026-05-11,identical,52
H1N1,HA1,2026-05-18,1_mutation,20
H1N1,HA1,2026-05-18,2_mutations,11
H1N1,HA1,2026-05-18,identical,50
H1N1,HA1,2026-05-25,1_mutation,26
H1N1,HA1,2026-05-25,2_mutations,7
H1N1,HA1,2026-05-25,identical,45
H1N1,HA1,2026-06-01,1_mutation,31
H1N1,HA1,2026-06-01,2_mutations,12
H1N1,HA1,2026-06-01,3_mutations,4
H1N1,HA1,2026-06-01,4_mutations,1
H1N1,HA1,2026-06-01,identical,39
H1N1,HA1,2026-06-08,1_mutation,28
H1N1,HA1,2026-06-08,2_mutations,5
H1N1,HA1,2026-06-08,3_mutations,3
H1N1,HA1,2026-06-08,4_mutations,1
H1N1,HA1,2026-06-08,identical,36
H1N1,HA1,2026-06-15,1_mutation,35
H1N1,HA1,2026-06-15,2_mutations,9
H1N1,HA1,2026-06-15,3_mutations,2
H1N1,HA1,2026-06-15,identical,29
H1N1,HA1,2026-06-22,1_mutation,26
H1N1,HA1,2026-06-22,2_mutations,18
H1N1,HA1,2026-06-22,3_mutations,3
H1N1,HA1,2026-06-22,4_mutations,1
H1N1,HA1,2026-06-22,identical,25
H1N1,HA1,2026-06-22,more_than_4_mutations,1
H1N1,HA1,2026-06-29,1_mutation,17
H1N1,HA1,2026-06-29,2_mutations,11
H1N1,HA1,2026-06-29,3_mutations,2
H1N1,HA1,2026-06-29,4_mutations,4
H1N1,HA1,2026-06-29,identical,26
H1N1,HA1,2026-07-06,1_mutation,20
H1N1,HA1,2026-07-06,2_mutations,4
H1N1,HA1,2026-07-06,3_mutations,1
H1N1,HA1,2026-07-06,4_mutations,1
H1N1,HA1,2026-07-06,identical,15
H1N1,HA1,2026-07-06,more_than_4_mutations,2
H1N1,HA1,2026-07-13,1_mutation,30
H1N1,HA1,2026-07-13,2_mutations,10
H1N1,HA1,2026-07-13,4_mutations,1
H1N1,HA1,2026-07-13,identical,9
H1N1,HA1,2026-07-20,1_mutation,29
H1N1,HA1,2026-07-20,2_mutations,15
H1N1,HA1,2026-07-20,3_mutations,3
H1N1,HA1,2026-07-20,identical,9
H1N1,HA1,2026-07-27,1_mutation,16
H1N1,HA1,2026-07-27,2_mutations,10
H1N1,HA1,2026-07-27,4_mutations,1
H1N1,HA1,2026-07-27,identical,9
H1N1,HA1,2026-08-03,1_mutation,23
H1N1,HA1,2026-08-03,2_mutations,26
H1N1,HA1,2026-08-03,identical,5
H1N1,HA1,2026-08-10,1_mutation,30
H1N1,HA1,2026-08-10,2_mutations,13
H1N1,HA1,2026-08-10,3_mutations,1
H1N1,HA1,2026-08-10,identical,3
H1N1,HA1,2026-08-17,1_mutation,1
H1N1,HA1,2026-08-17,2_mutations,5
H1N1,HA1,2026-08-17,4_mutations,1
H1N1,ectodomain,2024-09-02,1_mutation,51
H1N1,ectodomain,2024-09-02,2_mutations,52
H1N1,ectodomain,2024-09-02,3_mutations,18
H1N1,ectodomain,2024-09-02,4_mutations,8
H1N1,ectodomain,2024-09-02,identical,32
H1N1,ectodomain,2024-09-09,1_mutation,73
H1N1,ectodomain,2024-09-09,2_mutations,65
H1N1,ectodomain,2024-09-09,3_mutations,25
H1N1,ectodomain,2024-09-09,4_mutations,6
H1N1,ectodomain,2024-09-09,identical,32
H1N1,ectodomain,2024-09-09,more_than_4_mutations,4
H1N1,ectodomain,2024-09-16,1_mutation,62
H1N1,ectodomain,2024-09-16,2_mutations,80
H1N1,ectodomain,2024-09-16,3_mutations,24
H1N1,ectodomain,2024-09-16,4_mutations,8
H1N1,ectodomain,2024-09-16,identical,42
H1N1,ectodomain,2024-09-16,more_than_4_mutations,2
H1N1,ectodomain,2024-09-23,1_mutation,50
H1N1,ectodomain,2024-09-23,2_mutations,65
H1N1,ectodomain,2024-09-23,3_mutations,34
H1N1,ectodomain,2024-09-23,4_mutations,8
H1N1,ectodomain,2024-09-23,identical,31
H1N1,ectodomain,2024-09-23,more_than_4_mutations,4
H1N1,ectodomain,2024-09-30,1_mutation,52
H1N1,ectodomain,2024-09-30,2_mutations,61
H1N1,ectodomain,2024-09-30,3_mutations,22
H1N1,ectodomain,2024-09-30,4_mutations,11
H1N1,ectodomain,2024-09-30,identical,37
H1N1,ectodomain,2024-09-30,more_than_4_mutations,2
H1N1,ectodomain,2024-10-07,1_mutation,68
H1N1,ectodomain,2024-10-07,2_mutations,73
H1N1,ectodomain,2024-10-07,3_mutations,26
H1N1,ectodomain,2024-10-07,4_mutations,16
H1N1,ectodomain,2024-10-07,identical,58
H1N1,ectodomain,2024-10-07,more_than_4_mutations,3
H1N1,ectodomain,2024-10-14,1_mutation,66
H1N1,ectodomain,2024-10-14,2_mutations,74
H1N1,ectodomain,2024-10-14,3_mutations,31
H1N1,ectodomain,2024-10-14,4_mutations,11
H1N1,ectodomain,2024-10-14,identical,66
H1N1,ectodomain,2024-10-14,more_than_4_mutations,5
H1N1,ectodomain,2024-10-21,1_mutation,84
H1N1,ectodomain,2024-10-21,2_mutations,95
H1N1,ectodomain,2024-10-21,3_mutations,51
H1N1,ectodomain,2024-10-21,4_mutations,19
H1N1,ectodomain,2024-10-21,identical,97
H1N1,ectodomain,2024-10-21,more_than_4_mutations,17
H1N1,ectodomain,2024-10-28,1_mutation,101
H1N1,ectodomain,2024-10-28,2_mutations,75
H1N1,ectodomain,2024-10-28,3_mutations,47
H1N1,ectodomain,2024-10-28,4_mutations,12
H1N1,ectodomain,2024-10-28,identical,68
H1N1,ectodomain,2024-10-28,more_than_4_mutations,13
H1N1,ectodomain,2024-11-04,1_mutation,110
H1N1,ectodomain,2024-11-04,2_mutations,133
H1N1,ectodomain,2024-11-04,3_mutations,54
H1N1,ectodomain,2024-11-04,4_mutations,20
