virus,cohort,n_sera,median_titer,geomean_titer,titer_q1,titer_q3,frac_w_titer_below_140
A/Asturias/232590913/2025_H1N1,All,285,274.8,357.5,153.8,692.3,0.2211
A/Asturias/232590913/2025_H1N1,CTS,38,241.6,303.9,173.7,440.2,0.1053
A/Asturias/232590913/2025_H1N1,SCH,40,195,222.7,88.58,480.9,0.45
A/Asturias/232590913/2025_H1N1,UWMC,87,278.4,382.1,163.6,908.2,0.2069
A/Asturias/232590913/2025_H1N1,VIDRL,120,340.1,419.9,178.2,762.9,0.1917
A/Asturias/232590913/2025_H1N1,VIDRL_adult-cell_post,20,1416,1502,649.3,4398,0
A/Asturias/232590913/2025_H1N1,VIDRL_adult-cell_pre,20,133.4,154.4,81.86,196.6,0.55
A/Asturias/232590913/2025_H1N1,VIDRL_adult-egg_post,20,480.2,532.5,244.5,816,0
A/Asturias/232590913/2025_H1N1,VIDRL_adult-egg_pre,20,231.2,244.7,112.8,447.4,0.4
A/Asturias/232590913/2025_H1N1,VIDRL_elderly-egg_post,20,562.1,700.7,316.3,1284,0.1
A/Asturias/232590913/2025_H1N1,VIDRL_elderly-egg_pre,20,243.2,258.8,181.4,351.1,0.1
A/Badajoz/18738342/2026_H3N2,All,283,388.2,469.4,193.8,1104,0.1519
A/Badajoz/18738342/2026_H3N2,CTS,38,381.1,477.4,249.4,838,0.05263
A/Badajoz/18738342/2026_H3N2,SCH,40,321.4,507.4,161.8,1650,0.2
A/Badajoz/18738342/2026_H3N2,UWMC,86,476.6,510.5,257,948.6,0.1047
A/Badajoz/18738342/2026_H3N2,VIDRL,119,357,428.1,158.9,1040,0.2017
A/Badajoz/18738342/2026_H3N2,VIDRL_adult-cell_post,20,1029,877.1,502.8,1488,0.05
A/Badajoz/18738342/2026_H3N2,VIDRL_adult-cell_pre,19,152,140.8,101,198.1,0.4211
A/Badajoz/18738342/2026_H3N2,VIDRL_adult-egg_post,20,912.9,833.4,323.6,1966,0.15
A/Badajoz/18738342/2026_H3N2,VIDRL_adult-egg_pre,20,206.2,264.5,133,593.1,0.35
A/Badajoz/18738342/2026_H3N2,VIDRL_elderly-egg_post,20,705.2,813.7,489.2,1614,0.1
A/Badajoz/18738342/2026_H3N2,VIDRL_elderly-egg_pre,20,248.2,262.9,181.8,413.4,0.15
A/Badajoz/18811358/2026_H3N2,All,282,431,513,225.2,1162,0.09574
A/Badajoz/18811358/2026_H3N2,CTS,38,318.3,400.6,226.1,567.3,0.07895
A/Badajoz/18811358/2026_H3N2,SCH,40,597.9,640.6,220.8,2259,0.075
A/Badajoz/18811358/2026_H3N2,UWMC,86,481.1,580.2,263.6,1162,0.05814
A/Badajoz/18811358/2026_H3N2,VIDRL,118,358.2,471,209.1,1110,0.1356
A/Badajoz/18811358/2026_H3N2,VIDRL_adult-cell_post,19,847.5,974.8,496.8,1622,0
A/Badajoz/18811358/2026_H3N2,VIDRL_adult-cell_pre,20,151.2,142.2,92.55,233.3,0.5
A/Badajoz/18811358/2026_H3N2,VIDRL_adult-egg_post,20,945.2,879.2,283.3,2559,0.05
A/Badajoz/18811358/2026_H3N2,VIDRL_adult-egg_pre,20,225.3,301,149.8,581,0.25
A/Badajoz/18811358/2026_H3N2,VIDRL_elderly-egg_post,19,918.1,1015,438.5,2084,0
A/Badajoz/18811358/2026_H3N2,VIDRL_elderly-egg_pre,20,280.8,316.3,251.7,386.1,0
A/Badajoz/18813527/2026_H3N2,All,285,389.6,470.2,205.2,990.1,0.1404
A/Badajoz/18813527/2026_H3N2,CTS,38,469.1,448.4,238.2,773.1,0.07895
A/Badajoz/18813527/2026_H3N2,SCH,40,482.3,564.9,219.4,1513,0.15
A/Badajoz/18813527/2026_H3N2,UWMC,87,385.9,479.4,225.5,863,0.1034
A/Badajoz/18813527/2026_H3N2,VIDRL,120,353.1,442.8,169.3,1001,0.1833
A/Badajoz/18813527/2026_H3N2,VIDRL_adult-cell_post,20,851.8,873.8,593.7,1290,0.05
A/Badajoz/18813527/2026_H3N2,VIDRL_adult-cell_pre,20,133.1,136.7,90.24,187,0.65
A/Badajoz/18813527/2026_H3N2,VIDRL_adult-egg_post,20,907.4,877.2,321.7,2105,0.1
A/Badajoz/18813527/2026_H3N2,VIDRL_adult-egg_pre,20,208.7,278.9,136.8,912.1,0.25
A/Badajoz/18813527/2026_H3N2,VIDRL_elderly-egg_post,20,764.2,913.1,340.9,1966,0
A/Badajoz/18813527/2026_H3N2,VIDRL_elderly-egg_pre,20,245.5,282.3,190.8,384.5,0.05
A/Bangkok/P2390/2025_H3N2,All,281,443,467.1,205.2,1042,0.153
A/Bangkok/P2390/2025_H3N2,CTS,38,405,436.9,252.1,545.8,0.02632
A/Bangkok/P2390/2025_H3N2,SCH,39,560.8,592.5,173.2,1982,0.1538
A/Bangkok/P2390/2025_H3N2,UWMC,86,453.6,492.8,261.4,920.2,0.1047
A/Bangkok/P2390/2025_H3N2,VIDRL,118,445.9,424.3,151.8,954.7,0.2288
A/Bangkok/P2390/2025_H3N2,VIDRL_adult-cell_post,20,825.9,831.5,528.1,1467,0.05
A/Bangkok/P2390/2025_H3N2,VIDRL_adult-cell_pre,19,124,133.6,90.14,212.9,0.5789
A/Bangkok/P2390/2025_H3N2,VIDRL_adult-egg_post,20,1164,1004,620.7,1919,0.05
A/Bangkok/P2390/2025_H3N2,VIDRL_adult-egg_pre,20,155,218.5,106.2,464.6,0.45
A/Bangkok/P2390/2025_H3N2,VIDRL_elderly-egg_post,20,708.7,923.3,496.7,2040,0.05
A/Bangkok/P2390/2025_H3N2,VIDRL_elderly-egg_pre,19,257.2,237.8,171.7,439.5,0.2105
A/Bangkok/P2391/2025_H3N2,All,274,338.9,392.3,149.6,852.8,0.2263
A/Bangkok/P2391/2025_H3N2,CTS,37,302,327.4,152.7,640.5,0.2162
A/Bangkok/P2391/2025_H3N2,SCH,38,555.3,471.6,199.9,1316,0.1842
A/Bangkok/P2391/2025_H3N2,UWMC,85,337,385,179.7,723.2,0.1882
A/Bangkok/P2391/2025_H3N2,VIDRL,114,391.5,396.8,130.5,1020,0.2719
A/Bangkok/P2391/2025_H3N2,VIDRL_adult-cell_post,20,803.1,836.3,425.5,1386,0.1
A/Bangkok/P2391/2025_H3N2,VIDRL_adult-cell_pre,16,92.89,110.1,69,161.1,0.6875
A/Bangkok/P2391/2025_H3N2,VIDRL_adult-egg_post,20,1312,804.9,279.4,1701,0.15
A/Bangkok/P2391/2025_H3N2,VIDRL_adult-egg_pre,18,239.2,272.4,124.7,487.3,0.3333
A/Bangkok/P2391/2025_H3N2,VIDRL_elderly-egg_post,20,678.4,669,443.1,1197,0.1
A/Bangkok/P2391/2025_H3N2,VIDRL_elderly-egg_pre,20,225.5,215.2,125.7,361.2,0.35
A/Blaenavon/6687/2026_H3N2,All,279,348.8,409,140.1,1170,0.2509
A/Blaenavon/6687/2026_H3N2,CTS,37,221.1,304.6,122.3,517.5,0.2973
A/Blaenavon/6687/2026_H3N2,SCH,39,319,313.3,103.3,846.5,0.3077
A/Blaenavon/6687/2026_H3N2,UWMC,84,448.8,521.8,218.5,1250,0.1429
A/Blaenavon/6687/2026_H3N2,VIDRL,119,271.7,411.8,119.4,1599,0.2941
A/Blaenavon/6687/2026_H3N2,VIDRL_adult-cell_post,20,1562,1005,336.8,2850,0.05
A/Blaenavon/6687/2026_H3N2,VIDRL_adult-cell_pre,20,136.4,131.1,61.42,196.6,0.5
A/Blaenavon/6687/2026_H3N2,VIDRL_adult-egg_post,20,675.5,874.3,227.7,3734,0.2
A/Blaenavon/6687/2026_H3N2,VIDRL_adult-egg_pre,19,266.8,385.4,102.2,2026,0.4211
A/Blaenavon/6687/2026_H3N2,VIDRL_elderly-egg_post,20,428.9,560.4,259.6,1534,0.15
A/Blaenavon/6687/2026_H3N2,VIDRL_elderly-egg_pre,20,167.2,195.3,93.47,340.6,0.45
A/Bolivia/OR5702/2025_H3N2,All,283,388,448.6,203.7,873,0.1237
A/Bolivia/OR5702/2025_H3N2,CTS,38,288.1,309.8,187.1,456.5,0.1579
A/Bolivia/OR5702/2025_H3N2,SCH,40,468.7,475.4,164.5,1295,0.2
A/Bolivia/OR5702/2025_H3N2,UWMC,86,451,483.1,231.8,926.8,0.0814
A/Bolivia/OR5702/2025_H3N2,VIDRL,119,383.9,469.4,203.7,1041,0.1176
A/Bolivia/OR5702/2025_H3N2,VIDRL_adult-cell_post,20,1041,819.2,360.8,1564,0
A/Bolivia/OR5702/2025_H3N2,VIDRL_adult-cell_pre,19,190.9,165.7,126.1,249.6,0.3684
A/Bolivia/OR5702/2025_H3N2,VIDRL_adult-egg_post,20,1292,1081,461.3,2374,0
A/Bolivia/OR5702/2025_H3N2,VIDRL_adult-egg_pre,20,287.2,350.3,183,641.1,0.15
A/Bolivia/OR5702/2025_H3N2,VIDRL_elderly-egg_post,20,643.8,707.3,528,1074,0.1
A/Bolivia/OR5702/2025_H3N2,VIDRL_elderly-egg_pre,20,238.9,279.2,210,349.9,0.1
A/BritishColumbia/RV00022-26/2025_H1N1,All,285,253.7,315.4,133.9,607.8,0.2702
A/BritishColumbia/RV00022-26/2025_H1N1,CTS,38,206.3,261.6,139.6,483.6,0.2632
A/BritishColumbia/RV00022-26/2025_H1N1,SCH,40,195.7,182.3,62.38,425.4,0.475
A/BritishColumbia/RV00022-26/2025_H1N1,UWMC,87,241.7,340.1,147.9,781,0.2184
A/BritishColumbia/RV00022-26/2025_H1N1,VIDRL,120,324.9,380.2,143,693.3,0.2417
A/BritishColumbia/RV00022-26/2025_H1N1,VIDRL_adult-cell_post,20,1294,1414,461.7,4560,0
A/BritishColumbia/RV00022-26/2025_H1N1,VIDRL_adult-cell_pre,20,122.2,137.2,70.88,195.1,0.6
A/BritishColumbia/RV00022-26/2025_H1N1,VIDRL_adult-egg_post,20,476.3,539.2,335.6,701.3,0.05
A/BritishColumbia/RV00022-26/2025_H1N1,VIDRL_adult-egg_pre,20,244.6,231.9,105.3,388.9,0.45
A/BritishColumbia/RV00022-26/2025_H1N1,VIDRL_elderly-egg_post,20,488.5,637.2,311.2,1398,0.1
A/BritishColumbia/RV00022-26/2025_H1N1,VIDRL_elderly-egg_pre,20,194.9,195.5,141.5,275.5,0.25
A/BritishColumbia/RV00279-26/2025_H3N2,All,283,437.3,500.9,219.5,1092,0.1237
A/BritishColumbia/RV00279-26/2025_H3N2,CTS,38,415.2,461.1,313.3,664.3,0.05263
A/BritishColumbia/RV00279-26/2025_H3N2,SCH,40,571.7,636.1,226.9,1914,0.125
A/BritishColumbia/RV00279-26/2025_H3N2,UWMC,87,503.7,533.5,260.1,1021,0.06897
A/BritishColumbia/RV00279-26/2025_H3N2,VIDRL,118,390.9,452.9,172.3,1255,0.1864
A/BritishColumbia/RV00279-26/2025_H3N2,VIDRL_adult-cell_post,20,888.9,886.7,487.7,1797,0.05
A/BritishColumbia/RV00279-26/2025_H3N2,VIDRL_adult-cell_pre,19,108.9,111,65.85,194.9,0.5789
A/BritishColumbia/RV00279-26/2025_H3N2,VIDRL_adult-egg_post,20,1500,1036,334.6,2418,0.05
A/BritishColumbia/RV00279-26/2025_H3N2,VIDRL_adult-egg_pre,19,273.4,297.6,141.4,507.1,0.2632
A/BritishColumbia/RV00279-26/2025_H3N2,VIDRL_elderly-egg_post,20,668,883,506.1,1969,0.05
A/BritishColumbia/RV00279-26/2025_H3N2,VIDRL_elderly-egg_pre,20,262.2,293.9,163.5,513,0.15
A/BritishColumbia/RV01350-26/2026_H1N1,All,285,265.7,312.9,135.8,562,0.2632
A/BritishColumbia/RV01350-26/2026_H1N1,CTS,38,232.6,268.3,136.4,443.6,0.2895
A/BritishColumbia/RV01350-26/2026_H1N1,SCH,40,155,190.5,66.65,478.4,0.45
A/BritishColumbia/RV01350-26/2026_H1N1,UWMC,87,282.5,319.6,131.1,635.7,0.2529
A/BritishColumbia/RV01350-26/2026_H1N1,VIDRL,120,309.8,381.7,154.8,653.5,0.2
A/BritishColumbia/RV01350-26/2026_H1N1,VIDRL_adult-cell_post,20,1174,1379,468,4651,0
A/BritishColumbia/RV01350-26/2026_H1N1,VIDRL_adult-cell_pre,20,136.8,145.7,84.4,186.4,0.5
A/BritishColumbia/RV01350-26/2026_H1N1,VIDRL_adult-egg_post,20,439.9,491,238.1,646.8,0.05
A/BritishColumbia/RV01350-26/2026_H1N1,VIDRL_adult-egg_pre,20,249.1,219.4,97.13,419.9,0.4
A/BritishColumbia/RV01350-26/2026_H1N1,VIDRL_elderly-egg_post,20,527.3,656.2,317.5,1988,0.1
A/BritishColumbia/RV01350-26/2026_H1N1,VIDRL_elderly-egg_pre,20,215.2,217.7,148.9,268.5,0.15
A/BritishColumbia/RV05508-25/2025_H1N1,All,285,226.5,257.7,136.3,385.4,0.2596
A/BritishColumbia/RV05508-25/2025_H1N1,CTS,38,206.2,223.8,156.8,320.2,0.2105
A/BritishColumbia/RV05508-25/2025_H1N1,SCH,40,140.4,170.8,79.34,344,0.5
A/BritishColumbia/RV05508-25/2025_H1N1,UWMC,87,218.6,243.9,129.6,395.5,0.2874
A/BritishColumbia/RV05508-25/2025_H1N1,VIDRL,120,270.6,321.7,172.7,452.1,0.175
A/BritishColumbia/RV05508-25/2025_H1N1,VIDRL_adult-cell_post,20,842.5,884,371.2,1920,0
A/BritishColumbia/RV05508-25/2025_H1N1,VIDRL_adult-cell_pre,20,159.5,150.5,88.84,219.6,0.45
A/BritishColumbia/RV05508-25/2025_H1N1,VIDRL_adult-egg_post,20,386.6,429.5,224.7,623,0
A/BritishColumbia/RV05508-25/2025_H1N1,VIDRL_adult-egg_pre,20,208,194.5,120,357,0.4
A/BritishColumbia/RV05508-25/2025_H1N1,VIDRL_elderly-egg_post,20,420.4,483.3,284.1,640.9,0.1
A/BritishColumbia/RV05508-25/2025_H1N1,VIDRL_elderly-egg_pre,20,192.7,206.5,163.2,274.1,0.1
A/California/GKISBBBH79910/2026_H3N2,All,283,401.7,470.3,198.1,1090,0.1484
A/California/GKISBBBH79910/2026_H3N2,CTS,38,370.5,403.5,210.6,550.6,0.07895
A/California/GKISBBBH79910/2026_H3N2,SCH,40,539.9,583.3,214.2,1625,0.1
A/California/GKISBBBH79910/2026_H3N2,UWMC,86,483.8,524.7,236,1078,0.06977
A/California/GKISBBBH79910/2026_H3N2,VIDRL,119,361.1,424.3,143.2,1020,0.2437
A/California/GKISBBBH79910/2026_H3N2,VIDRL_adult-cell_post,20,832.2,872.6,600.6,1541,0.05
A/California/GKISBBBH79910/2026_H3N2,VIDRL_adult-cell_pre,19,118.1,131.4,86.22,190.2,0.5789
A/California/GKISBBBH79910/2026_H3N2,VIDRL_adult-egg_post,20,1408,925.4,320.9,2521,0.1
A/California/GKISBBBH79910/2026_H3N2,VIDRL_adult-egg_pre,20,163.6,239.8,130.4,482.8,0.4
A/California/GKISBBBH79910/2026_H3N2,VIDRL_elderly-egg_post,20,759.4,822.3,349.2,1771,0.1
A/California/GKISBBBH79910/2026_H3N2,VIDRL_elderly-egg_pre,20,306.9,263.2,156.2,387.3,0.25
A/California/NIRC-IS-1019/2026_H1N1,All,285,297.2,332.6,152.1,754.9,0.2421
A/California/NIRC-IS-1019/2026_H1N1,CTS,38,198.6,261,157.4,451.3,0.2105
A/California/NIRC-IS-1019/2026_H1N1,SCH,40,206.3,198,47.7,755.5,0.425
A/California/NIRC-IS-1019/2026_H1N1,UWMC,87,321.9,350.5,136,821,0.2529
A/California/NIRC-IS-1019/2026_H1N1,VIDRL,120,327.6,411,197.2,809.4,0.1833
A/California/NIRC-IS-1019/2026_H1N1,VIDRL_adult-cell_post,20,1060,1315,459.6,3358,0
A/California/NIRC-IS-1019/2026_H1N1,VIDRL_adult-cell_pre,20,142.8,137.9,60.75,251.9,0.5
A/California/NIRC-IS-1019/2026_H1N1,VIDRL_adult-egg_post,20,514.8,571.8,230.5,887.6,0.05
A/California/NIRC-IS-1019/2026_H1N1,VIDRL_adult-egg_pre,20,290.8,274.5,100.9,555,0.3
A/California/NIRC-IS-1019/2026_H1N1,VIDRL_elderly-egg_post,20,549.5,651.2,296.9,1206,0.1
A/California/NIRC-IS-1019/2026_H1N1,VIDRL_elderly-egg_pre,20,232.1,259.7,179.5,295.4,0.15
A/California/NIRC-IS-1059/2026_H3N2,All,283,369,435.2,180.7,1073,0.1625
A/California/NIRC-IS-1059/2026_H3N2,CTS,38,376.9,404.6,207.3,631.9,0.05263
A/California/NIRC-IS-1059/2026_H3N2,SCH,40,582.3,528.5,209.9,1712,0.2
A/California/NIRC-IS-1059/2026_H3N2,UWMC,86,454.9,486.6,214.1,1061,0.1279
A/California/NIRC-IS-1059/2026_H3N2,VIDRL,119,314.8,385,159.1,1029,0.2101
A/California/NIRC-IS-1059/2026_H3N2,VIDRL_adult-cell_post,20,712.8,679.2,339.2,1148,0.05
A/California/NIRC-IS-1059/2026_H3N2,VIDRL_adult-cell_pre,19,112.8,121.4,76.55,197.6,0.6316
A/California/NIRC-IS-1059/2026_H3N2,VIDRL_adult-egg_post,20,961.1,809.4,276.2,1995,0.1
A/California/NIRC-IS-1059/2026_H3N2,VIDRL_adult-egg_pre,20,160.9,214.6,105.2,291.1,0.35
A/California/NIRC-IS-1059/2026_H3N2,VIDRL_elderly-egg_post,20,775.7,846.2,362.6,1970,0
A/California/NIRC-IS-1059/2026_H3N2,VIDRL_elderly-egg_pre,20,197.1,253.4,176.2,332.2,0.15
A/California/NIRC-IS-1067/2026_H3N2,All,285,502.1,542.9,230.2,1206,0.09825
A/California/NIRC-IS-1067/2026_H3N2,CTS,38,352,394.7,208.6,621.7,0.07895
A/California/NIRC-IS-1067/2026_H3N2,SCH,40,573,672.1,263.4,1832,0.075
A/California/NIRC-IS-1067/2026_H3N2,UWMC,87,532.4,629.4,291.7,1242,0.04598
A/California/NIRC-IS-1067/2026_H3N2,VIDRL,120,451.8,502.4,209.5,1198,0.15
A/California/NIRC-IS-1067/2026_H3N2,VIDRL_adult-cell_post,20,1039,1045,690.2,1737,0.05
A/California/NIRC-IS-1067/2026_H3N2,VIDRL_adult-cell_pre,20,167.8,157.3,96.41,230.9,0.4
A/California/NIRC-IS-1067/2026_H3N2,VIDRL_adult-egg_post,20,1026,1033,565.2,2236,0.05
A/California/NIRC-IS-1067/2026_H3N2,VIDRL_adult-egg_pre,20,279.6,375.1,187.8,641.8,0.2
A/California/NIRC-IS-1067/2026_H3N2,VIDRL_elderly-egg_post,20,886.8,896.1,403.2,1802,0
A/California/NIRC-IS-1067/2026_H3N2,VIDRL_elderly-egg_pre,20,284.2,281.8,185.1,470.8,0.2
A/California/NIRC-IS-1356/2025_H1N1,All,285,270.3,307.1,155.3,556.3,0.2316
A/California/NIRC-IS-1356/2025_H1N1,CTS,38,308.9,359,232.8,442,0.02632
A/California/NIRC-IS-1356/2025_H1N1,SCH,40,195.3,184.1,57.69,456.2,0.45
A/California/NIRC-IS-1356/2025_H1N1,UWMC,87,267,287.5,137,521.4,0.2759
A/California/NIRC-IS-1356/2025_H1N1,VIDRL,120,287.3,363.6,167.2,630.5,0.1917
A/California/NIRC-IS-1356/2025_H1N1,VIDRL_adult-cell_post,20,800.9,980.7,345.2,1922,0.05
A/California/NIRC-IS-1356/2025_H1N1,VIDRL_adult-cell_pre,20,127.2,126.2,77.28,192.2,0.55
A/California/NIRC-IS-1356/2025_H1N1,VIDRL_adult-egg_post,20,437.6,521.5,277,826,0.05
A/California/NIRC-IS-1356/2025_H1N1,VIDRL_adult-egg_pre,20,207.9,213.9,120.3,298,0.35
A/California/NIRC-IS-1356/2025_H1N1,VIDRL_elderly-egg_post,20,497.8,687.4,287.4,1332,0
A/California/NIRC-IS-1356/2025_H1N1,VIDRL_elderly-egg_pre,20,243.1,243.6,169.7,363.2,0.15
A/Castellon/VAHNSI_02_02400/2025_H3N2,All,284,416.8,484.7,197.1,1146,0.1479
A/Castellon/VAHNSI_02_02400/2025_H3N2,CTS,38,407.8,446.3,235.3,710.4,0.1053
A/Castellon/VAHNSI_02_02400/2025_H3N2,SCH,40,408.9,532.1,161.4,1507,0.175
A/Castellon/VAHNSI_02_02400/2025_H3N2,UWMC,86,482.4,544.2,233.1,1251,0.09302
A/Castellon/VAHNSI_02_02400/2025_H3N2,VIDRL,120,398.5,443.9,168.4,1065,0.1917
A/Castellon/VAHNSI_02_02400/2025_H3N2,VIDRL_adult-cell_post,20,882.6,920.7,524.3,1890,0.05
A/Castellon/VAHNSI_02_02400/2025_H3N2,VIDRL_adult-cell_pre,20,107.2,112,68.91,182.5,0.65
A/Castellon/VAHNSI_02_02400/2025_H3N2,VIDRL_adult-egg_post,20,1070,1007,418.3,2701,0.05
A/Castellon/VAHNSI_02_02400/2025_H3N2,VIDRL_adult-egg_pre,20,189.6,260.2,129.2,648,0.3
A/Castellon/VAHNSI_02_02400/2025_H3N2,VIDRL_elderly-egg_post,20,882.8,934.5,420.2,1940,0.05
A/Castellon/VAHNSI_02_02400/2025_H3N2,VIDRL_elderly-egg_pre,20,303.8,303.3,190.1,433.7,0.05
A/Colombia/1851/2024_H3N2,All,284,484.9,592.8,248.5,1359,0.07746
A/Colombia/1851/2024_H3N2,CTS,38,442.8,455.5,278.6,626,0.05263
A/Colombia/1851/2024_H3N2,SCH,39,545.7,543.4,189.9,2005,0.1795
A/Colombia/1851/2024_H3N2,UWMC,87,405.5,601.3,266.4,1440,0.05747
A/Colombia/1851/2024_H3N2,VIDRL,120,561.2,656.2,249.4,1472,0.06667
A/Colombia/1851/2024_H3N2,VIDRL_adult-cell_post,20,1228,1237,538.1,2311,0
A/Colombia/1851/2024_H3N2,VIDRL_adult-cell_pre,20,230.1,229,142.7,343.9,0.15
A/Colombia/1851/2024_H3N2,VIDRL_adult-egg_post,20,1786,1433,988,3086,0.05
