group,serum,plates
human,flu-seqneut-2026-UWMC-031,plate9
human,flu-seqneut-2026-UWMC-032,plate9
human,flu-seqneut-2026-UWMC-033,plate9
human,flu-seqneut-2026-UWMC-034,plate9
human,flu-seqneut-2026-UWMC-035,plate9
human,flu-seqneut-2026-UWMC-036,plate9
human,flu-seqneut-2026-UWMC-037,plate9
human,flu-seqneut-2026-UWMC-038,plate14
human,flu-seqneut-2026-UWMC-039,plate14
human,flu-seqneut-2026-UWMC-040,plate14
human,flu-seqneut-2026-UWMC-041,plate14
human,flu-seqneut-2026-UWMC-042,plate14
human,flu-seqneut-2026-UWMC-043,plate14
human,flu-seqneut-2026-UWMC-044,plate14
human,flu-seqneut-2026-UWMC-045,plate14
human,flu-seqneut-2026-UWMC-046,plate14
human,flu-seqneut-2026-UWMC-047,plate14
human,flu-seqneut-2026-UWMC-048,plate14
human,flu-seqneut-2026-UWMC-049,plate15
human,flu-seqneut-2026-UWMC-050,plate15
human,flu-seqneut-2026-UWMC-051,plate15
human,flu-seqneut-2026-UWMC-052,plate15
human,flu-seqneut-2026-UWMC-053,plate15
human,flu-seqneut-2026-UWMC-054,plate15
human,flu-seqneut-2026-UWMC-055,plate15
human,flu-seqneut-2026-UWMC-056,plate15
human,flu-seqneut-2026-UWMC-057,plate15
human,flu-seqneut-2026-UWMC-058,plate15
human,flu-seqneut-2026-UWMC-059,plate15
human,flu-seqneut-2026-UWMC-060,plate16
human,flu-seqneut-2026-UWMC-061,plate16
human,flu-seqneut-2026-UWMC-062,plate16
human,flu-seqneut-2026-UWMC-063,plate16
human,flu-seqneut-2026-UWMC-064,plate16
human,flu-seqneut-2026-UWMC-065,plate16
human,flu-seqneut-2026-UWMC-066,plate16
human,flu-seqneut-2026-UWMC-067,plate16
human,flu-seqneut-2026-UWMC-068,plate16
human,flu-seqneut-2026-UWMC-069,plate16
human,flu-seqneut-2026-UWMC-070,plate16
human,flu-seqneut-2026-UWMC-071,plate17
human,flu-seqneut-2026-UWMC-072,plate17
human,flu-seqneut-2026-UWMC-073,plate17
human,flu-seqneut-2026-UWMC-074,plate17
human,flu-seqneut-2026-UWMC-075,plate17
human,flu-seqneut-2026-UWMC-076,plate17
human,flu-seqneut-2026-UWMC-077,plate17
human,flu-seqneut-2026-UWMC-078,plate17
human,flu-seqneut-2026-UWMC-079,plate17
human,flu-seqneut-2026-UWMC-080,plate17
human,flu-seqneut-2026-UWMC-081,plate17
human,flu-seqneut-2026-UWMC-082,plate18
human,flu-seqneut-2026-UWMC-083,plate18
human,flu-seqneut-2026-UWMC-084,plate18
human,flu-seqneut-2026-UWMC-085,plate18
human,flu-seqneut-2026-UWMC-086,plate18
human,flu-seqneut-2026-UWMC-087,plate18
human,flu-seqneut-2026-UWMC-088,plate18
human,flu-seqneut-2026-VIDRL-001_post-vax,plate35
human,flu-seqneut-2026-VIDRL-001_pre-vax,plate35
human,flu-seqneut-2026-VIDRL-002_post-vax,plate35
human,flu-seqneut-2026-VIDRL-002_pre-vax,plate35
human,flu-seqneut-2026-VIDRL-003_post-vax,plate35
human,flu-seqneut-2026-VIDRL-003_pre-vax,plate35
human,flu-seqneut-2026-VIDRL-004_post-vax,plate35
human,flu-seqneut-2026-VIDRL-004_pre-vax,plate35
human,flu-seqneut-2026-VIDRL-005_post-vax,plate35
human,flu-seqneut-2026-VIDRL-005_pre-vax,plate35
human,flu-seqneut-2026-VIDRL-006_post-vax,plate36
human,flu-seqneut-2026-VIDRL-006_pre-vax,plate36
human,flu-seqneut-2026-VIDRL-007_post-vax,plate36
human,flu-seqneut-2026-VIDRL-007_pre-vax,plate36
human,flu-seqneut-2026-VIDRL-008_post-vax,plate36
human,flu-seqneut-2026-VIDRL-008_pre-vax,plate36
human,flu-seqneut-2026-VIDRL-009_post-vax,plate36
human,flu-seqneut-2026-VIDRL-009_pre-vax,plate36
human,flu-seqneut-2026-VIDRL-010_post-vax,plate36
human,flu-seqneut-2026-VIDRL-010_pre-vax,plate36
human,flu-seqneut-2026-VIDRL-011_post-vax,plate25
human,flu-seqneut-2026-VIDRL-011_pre-vax,plate25
human,flu-seqneut-2026-VIDRL-012_post-vax,plate25
human,flu-seqneut-2026-VIDRL-012_pre-vax,plate25
human,flu-seqneut-2026-VIDRL-013_post-vax,plate25
human,flu-seqneut-2026-VIDRL-013_pre-vax,plate25
human,flu-seqneut-2026-VIDRL-014_post-vax,plate25
human,flu-seqneut-2026-VIDRL-014_pre-vax,plate25
human,flu-seqneut-2026-VIDRL-015_post-vax,plate25
human,flu-seqneut-2026-VIDRL-015_pre-vax,plate25
human,flu-seqneut-2026-VIDRL-016_post-vax,plate26
human,flu-seqneut-2026-VIDRL-016_pre-vax,plate26
human,flu-seqneut-2026-VIDRL-017_post-vax,plate26
human,flu-seqneut-2026-VIDRL-017_pre-vax,plate26
human,flu-seqneut-2026-VIDRL-018_post-vax,plate26
human,flu-seqneut-2026-VIDRL-018_pre-vax,plate26
human,flu-seqneut-2026-VIDRL-019_post-vax,plate26
human,flu-seqneut-2026-VIDRL-019_pre-vax,plate26
human,flu-seqneut-2026-VIDRL-020_post-vax,plate26
human,flu-seqneut-2026-VIDRL-020_pre-vax,plate26
human,flu-seqneut-2026-VIDRL-021_post-vax,plate27
human,flu-seqneut-2026-VIDRL-021_pre-vax,plate27
human,flu-seqneut-2026-VIDRL-022_post-vax,plate27
human,flu-seqneut-2026-VIDRL-022_pre-vax,plate27
human,flu-seqneut-2026-VIDRL-023_post-vax,plate27
human,flu-seqneut-2026-VIDRL-023_pre-vax,plate27
human,flu-seqneut-2026-VIDRL-024_post-vax,plate27
human,flu-seqneut-2026-VIDRL-024_pre-vax,plate27
human,flu-seqneut-2026-VIDRL-025_post-vax,plate27
human,flu-seqneut-2026-VIDRL-025_pre-vax,plate27
human,flu-seqneut-2026-VIDRL-026_post-vax,plate28
human,flu-seqneut-2026-VIDRL-026_pre-vax,plate28
human,flu-seqneut-2026-VIDRL-027_post-vax,plate28
human,flu-seqneut-2026-VIDRL-027_pre-vax,plate28
human,flu-seqneut-2026-VIDRL-028_post-vax,plate28
human,flu-seqneut-2026-VIDRL-028_pre-vax,plate28
human,flu-seqneut-2026-VIDRL-029_post-vax,plate28
human,flu-seqneut-2026-VIDRL-029_pre-vax,plate28
human,flu-seqneut-2026-VIDRL-030_post-vax,plate28
human,flu-seqneut-2026-VIDRL-030_pre-vax,plate28
human,flu-seqneut-2026-VIDRL-031_post-vax,plate29
human,flu-seqneut-2026-VIDRL-031_pre-vax,plate29
human,flu-seqneut-2026-VIDRL-032_post-vax,plate29
human,flu-seqneut-2026-VIDRL-032_pre-vax,plate29
human,flu-seqneut-2026-VIDRL-033_post-vax,plate29
human,flu-seqneut-2026-VIDRL-033_pre-vax,plate29
human,flu-seqneut-2026-VIDRL-034_post-vax,plate29
human,flu-seqneut-2026-VIDRL-034_pre-vax,plate29
human,flu-seqneut-2026-VIDRL-035_post-vax,plate29
human,flu-seqneut-2026-VIDRL-035_pre-vax,plate29
human,flu-seqneut-2026-VIDRL-036_post-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-036_pre-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-037_post-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-037_pre-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-038_post-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-038_pre-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-039_post-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-039_pre-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-040_post-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-040_pre-vax,plate30;plate32
human,flu-seqneut-2026-VIDRL-085_post-vax,plate33
human,flu-seqneut-2026-VIDRL-085_pre-vax,plate33
human,flu-seqneut-2026-VIDRL-086_post-vax,plate33
human,flu-seqneut-2026-VIDRL-086_pre-vax,plate33
human,flu-seqneut-2026-VIDRL-087_post-vax,plate33
human,flu-seqneut-2026-VIDRL-087_pre-vax,plate33
human,flu-seqneut-2026-VIDRL-088_post-vax,plate33
human,flu-seqneut-2026-VIDRL-088_pre-vax,plate33
human,flu-seqneut-2026-VIDRL-089_post-vax,plate33
human,flu-seqneut-2026-VIDRL-089_pre-vax,plate33
human,flu-seqneut-2026-VIDRL-090_post-vax,plate34
human,flu-seqneut-2026-VIDRL-090_pre-vax,plate34
human,flu-seqneut-2026-VIDRL-091_post-vax,plate34
human,flu-seqneut-2026-VIDRL-091_pre-vax,plate34
human,flu-seqneut-2026-VIDRL-092_post-vax,plate34
human,flu-seqneut-2026-VIDRL-092_pre-vax,plate34
human,flu-seqneut-2026-VIDRL-093_post-vax,plate34
human,flu-seqneut-2026-VIDRL-093_pre-vax,plate34
human,flu-seqneut-2026-VIDRL-094_post-vax,plate34
human,flu-seqneut-2026-VIDRL-094_pre-vax,plate34
human,flu-seqneut-2026-VIDRL-095_post-vax,plate37
human,flu-seqneut-2026-VIDRL-095_pre-vax,plate37
human,flu-seqneut-2026-VIDRL-096_post-vax,plate37
human,flu-seqneut-2026-VIDRL-096_pre-vax,plate37
human,flu-seqneut-2026-VIDRL-097_post-vax,plate37
human,flu-seqneut-2026-VIDRL-097_pre-vax,plate37
human,flu-seqneut-2026-VIDRL-098_post-vax,plate37
human,flu-seqneut-2026-VIDRL-098_pre-vax,plate37
human,flu-seqneut-2026-VIDRL-099_post-vax,plate37
human,flu-seqneut-2026-VIDRL-099_pre-vax,plate37
human,flu-seqneut-2026-VIDRL-100_post-vax,plate38
human,flu-seqneut-2026-VIDRL-100_pre-vax,plate38
human,flu-seqneut-2026-VIDRL-101_post-vax,plate38
human,flu-seqneut-2026-VIDRL-101_pre-vax,plate38
human,flu-seqneut-2026-VIDRL-102_post-vax,plate38
human,flu-seqneut-2026-VIDRL-102_pre-vax,plate38
human,flu-seqneut-2026-VIDRL-103_post-vax,plate38
human,flu-seqneut-2026-VIDRL-103_pre-vax,plate38
human,flu-seqneut-2026-VIDRL-104_post-vax,plate38
human,flu-seqneut-2026-VIDRL-104_pre-vax,plate38
human,flu-seqneut-2026-VIDRL-200_post-vax,plate40
human,flu-seqneut-2026-VIDRL-200_pre-vax,plate40
human,flu-seqneut-2026-VIDRL-201_post-vax,plate40
human,flu-seqneut-2026-VIDRL-201_pre-vax,plate40
human,flu-seqneut-2026-VIDRL-202_post-vax,plate40
human,flu-seqneut-2026-VIDRL-202_pre-vax,plate40
human,flu-seqneut-2026-VIDRL-203_post-vax,plate40
human,flu-seqneut-2026-VIDRL-203_pre-vax,plate40
human,flu-seqneut-2026-VIDRL-204_post-vax,plate40
human,flu-seqneut-2026-VIDRL-204_pre-vax,plate40
human,flu-seqneut-2026-VIDRL-206_post-vax,plate41
human,flu-seqneut-2026-VIDRL-206_pre-vax,plate41
human,flu-seqneut-2026-VIDRL-207_post-vax,plate41
human,flu-seqneut-2026-VIDRL-207_pre-vax,plate41
human,flu-seqneut-2026-VIDRL-208_post-vax,plate41
human,flu-seqneut-2026-VIDRL-208_pre-vax,plate41
human,flu-seqneut-2026-VIDRL-209_post-vax,plate41
human,flu-seqneut-2026-VIDRL-209_pre-vax,plate41
human,flu-seqneut-2026-VIDRL-210_post-vax,plate41
human,flu-seqneut-2026-VIDRL-210_pre-vax,plate41
human,flu-seqneut-2026-VIDRL-211_post-vax,plate42
human,flu-seqneut-2026-VIDRL-211_pre-vax,plate42
human,flu-seqneut-2026-VIDRL-212_post-vax,plate42
human,flu-seqneut-2026-VIDRL-212_pre-vax,plate42
human,flu-seqneut-2026-VIDRL-213_post-vax,plate42
human,flu-seqneut-2026-VIDRL-213_pre-vax,plate42
human,flu-seqneut-2026-VIDRL-214_post-vax,plate42
human,flu-seqneut-2026-VIDRL-214_pre-vax,plate42
human,flu-seqneut-2026-VIDRL-215_post-vax,plate42
human,flu-seqneut-2026-VIDRL-215_pre-vax,plate42
human,flu-seqneut-2026-VIDRL-217_post-vax,plate43
human,flu-seqneut-2026-VIDRL-217_pre-vax,plate43
human,flu-seqneut-2026-VIDRL-218_post-vax,plate43
human,flu-seqneut-2026-VIDRL-218_pre-vax,plate43
human,flu-seqneut-2026-VIDRL-219_post-vax,plate43
human,flu-seqneut-2026-VIDRL-219_pre-vax,plate43
human,flu-seqneut-2026-VIDRL-220_post-vax,plate43
human,flu-seqneut-2026-VIDRL-220_pre-vax,plate43
human,flu-seqneut-2026-VIDRL-221_post-vax,plate43
human,flu-seqneut-2026-VIDRL-221_pre-vax,plate43
