shortname,x_volume_to_add,strain
flu-seqneut-2026_H1N1_48_bc2,108.90748756186937,A/Arizona/40/2026_H1N1
flu-seqneut-2026_H1N1_49_bc1,56.32288790416378,A/MinasGerais/671/2026_H1N1
flu-seqneut-2026_H1N1_50_bc2,90.46475969582487,A/SouthAfrica/NICD-R01647/2026_H1N1
flu-seqneut-2026_H1N1_51_bc2,105.56255807116177,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1
flu-seqneut-2026_H1N1_52_bc2,105.4681387099176,A/Mauritius/26000203/2026_H1N1
flu-seqneut-2026_H1N1_53_bc2,106.20352357091225,A/SouthAfrica/NICD-R01668/2026_H1N1
flu-seqneut-2026_H1N1_54_bc2,101.79153001061412,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1
flu_seqneut_pdmH1N1_2023-2024_VS6,389.7868061625211,A/Wisconsin/67/2022_H1N1
flu_seqneut_pdmH1N1_2023-2024_IVR238,252.4356294989266,A/Victoria/4897/2022_IVR-238_H1N1
flu-seqneut-25to26_H1N1_25_bc2,248.8047814258569,A/Missouri/11/2025_cell_H1N1
flu_seqneut_pdmH1N1_2023-2024_VS4,167.44136366538606,A/Wisconsin/588/2019_H1N1
flu-seqneut-2025_H1N1_37_bc2,161.40270601458192,A/Hawaii/ISC-1140/2025_H1N1
flu-seqneut-2025_H1N1_27_bc1,161.15843297788473,A/Ohio/259/2024_H1N1
flu_seqneut_pdmH1N1_2023-2024_VS5,153.8790637458903,A/Hawaii/70/2019_H1N1
flu-seqneut-2025_H1N1_9_bc1,135.09705438577853,A/Tokyo/EIS11-277/2024_H1N1
flu-seqneut-2025_H1N1_25_bc2,111.45673222289764,A/Colorado/218/2024_H1N1
flu-seqneut-2025_H1N1_5_bc2,110.44257235138409,A/Singapore/MOH0547/2024_H1N1
flu-seqneut-25to26_H1N1_5_bc1,80.90320208756206,A/Norway/9556/2025_H1N1
flu-seqneut-2025_H1N1_24_bc2,57.22829409772751,A/Zacapa/FLU-012/2025_H1N1
flu-seqneut-25to26_H1N1_3_bc2,44.344921983164625,A/Andalucia/PMC-00977/2025_H1N1
flu-seqneut-2026_H3N2_1_bc2,26.795012468591352,A/Darwin/1454/2025_H3N2
flu-seqneut-2026_H3N2_2_bc1,22.33728485385651,A/Singapore/GP20238/2024_H3N2
flu-seqneut-2026_H3N2_3_bc2,28.087378407143255,A/Badajoz/18811358/2026_H3N2
flu-seqneut-2026_H3N2_4_bc2,13.945323512564318,A/StPetersburg/RII-25-2042S/2025_H3N2
flu-seqneut-2026_H3N2_5_bc1,16.044016296443093,A/Ireland/91576/2025_H3N2
flu-seqneut-2026_H3N2_6_bc2,10.939937811594659,A/Thuringen/16/2026_H3N2
flu-seqneut-2026_H3N2_7_bc1,36.175630105343885,A/StPetersburg/RII-25-2600S/2026_H3N2
flu-seqneut-2026_H3N2_8_bc2,23.560063776467732,A/Astrakhan/RII-MH273373S/2025_H3N2
flu-seqneut-2026_H3N2_9_bc1,22.315264089120227,A/Massachusetts/ISC-1856/2025_H3N2
flu-seqneut-2026_H3N2_10_bc1,36.8136035336132,A/Florida/ISC-1069/2026_H3N2
flu-seqneut-2026_H3N2_11_bc2,55.400239820874816,A/Denmark/3940/2025_H3N2
flu-seqneut-2026_H3N2_12_bc2,12.798078473919432,A/France/PAC-RELAB-HCL026021993801/2026_H3N2
flu-seqneut-2026_H3N2_13_bc1,36.548605349046184,A/Luxembourg/LNS9132577/2026_H3N2
flu-seqneut-2026_H3N2_14_bc1,69.60131181836117,A/California/NIRC-IS-1067/2026_H3N2
flu-seqneut-2026_H3N2_15_bc2,27.095946211521728,A/France/HDF-RELAB-IPP00300/2026_H3N2
flu-seqneut-2026_H3N2_16_bc2,13.010163982781807,A/NovaScotia/25-365-06099/2025_H3N2
flu-seqneut-2026_H3N2_17_bc2,20.846048699786454,A/StPetersburg/RII-25-2321S/2025_H3N2
flu-seqneut-2026_H3N2_18_bc2,23.87790306718568,A/NordrheinWestfalen/54/2026_H3N2
flu-seqneut-2026_H3N2_19_bc1,19.531387555212476,A/SantaCatarina/508/2026_H3N2
flu-seqneut-2026_H3N2_20_bc2,25.09892903644191,A/Trieste/380/2026_H3N2
flu-seqneut-2026_H3N2_21_bc2,37.931514601128434,A/Michigan/UM-10068071276/2025_H3N2
flu-seqneut-2026_H3N2_22_bc1,40.44756628368381,A/Singapore/NTF0577/2025_H3N2
flu-seqneut-2026_H3N2_23_bc2,14.085305056352034,A/California/NIRC-IS-1059/2026_H3N2
flu-seqneut-2026_H3N2_24_bc2,12.430005325675081,A/Germany/LRMC_0104/2025_H3N2
flu-seqneut-2026_H3N2_25_bc2,15.18810114842652,A/France/HDF-RELAB-IPP00303/2026_H3N2
flu-seqneut-2026_H3N2_26_bc1,21.41122077833653,A/Germany/LRMC_0113/2025_H3N2
flu-seqneut-2026_H3N2_27_bc2,6.460817536834448,A/StPetersburg/RII-25-2506S/2026_H3N2
flu-seqneut-2026_H3N2_28_bc2,34.59697938609687,A/Connecticut/5/2026_H3N2
flu-seqneut-2026_H3N2_29_bc2,11.769279956324237,A/Singapore/SAR8915/2025_H3N2
flu-seqneut-2026_H3N2_30_bc2,11.311871656915025,A/France/ARA-HCL026031894402/2026_H3N2
flu-seqneut-2026_H3N2_31_bc2,18.34770874908988,A/Castellon/VAHNSI_02_02400/2025_H3N2
flu-seqneut-2026_H3N2_32_bc2,17.763900944584993,A/Trieste/257/2025_H3N2
flu-seqneut-2026_H3N2_33_bc1,14.790129846759635,A/Badajoz/18738342/2026_H3N2
flu-seqneut-2026_H3N2_34_bc1,98.59504781540986,A/Saskatchewan/SKFLU477727/2025_H3N2
flu-seqneut-2026_H3N2_35_bc2,7.234671494193587,A/Michigan/UM-10068134090/2025_H3N2
flu-seqneut-2026_H3N2_36_bc2,33.157156277049836,A/Thuringen/39/2026_H3N2
flu-seqneut-2026_H3N2_37_bc2,23.169399504942927,A/California/GKISBBBH79910/2026_H3N2
flu-seqneut-2026_H3N2_38_bc2,106.67718134673524,A/SouthCarolina/USAFSAM-17046/2026_H3N2
flu-seqneut-2026_H3N2_39_bc1,10.846845995284234,A/NakhonPhanom/P495/2026_H3N2
flu-seqneut-2026_H3N2_40_bc1,12.80557716807283,A/Romania/612042/2026_H3N2
flu-seqneut-2026_H3N2_41_bc2,16.079561343344015,A/Victoria/2948/2025_H3N2
flu-seqneut-2026_H3N2_42_bc2,28.275760955669988,A/Michigan/UM-10068747355/2026_H3N2
flu-seqneut-2026_H3N2_43_bc1,47.3298456926886,A/Netherlands/968/2026_H3N2
flu-seqneut-2026_H3N2_45_bc1,29.78231723214422,A/Missouri/NIRC-AV-1003/2025_H3N2
flu-seqneut-2026_H3N2_46_bc2,64.14799061288309,A/France/OCC-HCL026013263701/2026_H3N2
flu-seqneut-2026_H3N2_47_bc2,14.163272909793202,A/Ontario/PHL202550193/2025_H3N2
flu-seqneut-2026_H3N2_48_bc2,11.571475909195813,A/Netherlands/888/2026_H3N2
flu-seqneut-2026_H3N2_49_bc2,17.412359611603488,A/SouthAustralia/2605715552/2026_H3N2
flu-seqneut-2026_H3N2_50_bc1,14.016427815041943,A/France/HDF-IPP01550/2026_H3N2
flu-seqneut-2026_H3N2_51_bc1,9.353184802695388,A/Saskatchewan/SKFLU477299/2025_H3N2
flu-seqneut-2026_H3N2_52_bc2,24.31116273202735,A/Parana/416133590/2026_H3N2
flu-seqneut-2026_H3N2_53_bc1,16.28275216044686,A/Montana/51/2025_H3N2
flu-seqneut-2026_H3N2_54_bc1,10.751504053947123,A/France/GES-IPP01077/2026_H3N2
flu-seqneut-2026_H3N2_55_bc2,44.982080715734675,A/Bolivia/OR5702/2025_H3N2
flu-seqneut-2026_H3N2_56_bc2,41.09128174942511,A/NewYork/NIRC-IS-1086/2026_H3N2
flu-seqneut-2026_H3N2_57_bc2,33.826130186549776,A/Michigan/8/2026_H3N2
flu-seqneut-2026_H3N2_58_bc2,7.753975379986084,A/Peru/ANC-INS-062/2026_H3N2
flu-seqneut-2026_H3N2_59_bc2,31.32116489915172,A/Blaenavon/6687/2026_H3N2
flu-seqneut-2026_H3N2_60_bc2,16.504546727328332,A/Oregon/81/2025_H3N2
flu-seqneut-2026_H3N2_61_bc1,27.196563381930858,A/Michigan/UM-10068449788/2025_H3N2
flu-seqneut-2026_H3N2_62_bc2,24.735386571700573,A/France/NAQ-HCL026010957001/2026_H3N2
flu-seqneut-2026_H3N2_63_bc1,14.509071917098435,A/Michigan/UM-10068456988/2025_H3N2
flu-seqneut-2026_H3N2_64_bc2,26.334972847646345,A/Badajoz/18813527/2026_H3N2
flu-seqneut-2026_H3N2_65_bc2,31.662726115770962,A/BritishColumbia/RV00279-26/2025_H3N2
flu-seqneut-2026_H3N2_66_bc1,32.10037350510453,A/RiodeJaneiro/331/2026_H3N2
flu-seqneut-2026_H3N2_67_bc1,20.62497744254492,A/Navarra/260009/2025_H3N2
flu-seqneut-H3-2023to2024_H3N2_79,240.52099871686494,A/Thailand/8/2022_H3N2
flu-seqneut-2025_H3N2_77_bc2,146.55835147298546,A/Croatia/10136RV/2023_H3N2
flu-seqneut-H3-2023to2024_H3N2_32,76.3013207227225,A/Massachusetts/18/2022_H3N2
flu-seqneut-25to26_H3N2_46_bc2,69.88820208755635,A/South_Australia/2523812314/2025_H3N2
flu-seqneut-2025_H3N2_9_bc2,49.986925340016526,A/Colombia/1851/2024_H3N2
flu-seqneut-DRIVE-2018to2026_H3N2_29,32.088017865740696,A/Vietnam/F7324/2024_H3N2
flu-seqneut-25to26_H3N2_21_bc2,29.812364796125802,A/Sydney/1359/2024_H3N2
flu-seqneut-25to26_H3N2_3_bc2,29.325233734112263,A/Bangkok/P2390/2025_H3N2
flu-seqneut-25to26_H3N2_8_bc2,27.01835356459187,A/Distrito_Federal/250106000728/2025_H3N2
flu-seqneut-25to26_H3N2_22_bc1,26.290306688903133,A/Malaysia/IMR/SARI/2406/2025_H3N2
flu-seqneut-2025_H1N1_Vax1_bc2,25.326673848621486,A/District_Of_Columbia/27/2023_H3N2
flu-seqneut-25to26_H3N2_1_bc2,21.536896318200746,A/Darwin/1415/2025_H3N2
flu-seqneut-25to26_H3N2_35_bc1,21.0585631283808,A/South_Australia/2527213276/2025_H3N2
flu-seqneut-2025_H3N2_59_bc2,20.145526398324126,A/Lisboa/216/2023_H3N2
flu-seqneut-25to26_H3N2_19_bc2,7.431835688867358,A/Galicia/GA-CHUAC-451/2025_H3N2
flu-seqneut-25to26_H3N2_25_bc2,7.423200104186526,A/Bangkok/P2391/2025_H3N2
